,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,9.533e-05,1557970453,9.533e-05,9.533e-05,9.533e-05,0.0,0.0,9.533e-05,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,9.698e-05,1557972000,9.809e-05,9.698e-05,9.713e-05,129.83253096,0.01268582,9.77e-05,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,9.566e-05,1557979200,9.792e-05,9.547e-05,9.697e-05,947.75942018,0.09139784,9.643e-05,0.03469455333333333,-99999.0,-99999.0,9.599000000000001e-05,-99999.0,-99999.0
3,9.769e-05,1557986400,9.785e-05,9.556e-05,9.598e-05,32.47658704,0.00314292,9.677e-05,0.03574219333333333,-99999.0,-99999.0,9.677666666666666e-05,-99999.0,-99999.0
4,9.769e-05,1557993600,9.769e-05,9.769e-05,9.769e-05,0.0,0.0,9.769e-05,0.03151358666666666,-99999.0,-99999.0,9.701333333333334e-05,-99999.0,-99999.0
5,9.55e-05,1558000800,9.558e-05,9.338e-05,9.543e-05,323.54913464,0.03076699,9.509e-05,0.011303303333333334,-99999.0,-99999.0,9.696e-05,-99999.0,-99999.0
6,9.358e-05,1558008000,9.572e-05,9.328e-05,9.57e-05,1023.97878593,0.09769401,9.54e-05,0.04282033333333333,-99999.0,-99999.0,9.559e-05,-99999.0,-99999.0
7,0.00010059,1558015200,0.00010059,9.548e-05,9.548e-05,551.88917806,0.05415845,9.813e-05,0.060873149999999994,-99999.0,-99999.0,9.655666666666667e-05,-99999.0,-99999.0
8,9.663e-05,1558022400,0.00010175,9.663e-05,0.00010175,40.91663476,0.00399655,9.767e-05,0.051949669999999996,-99999.0,-99999.0,9.693333333333334e-05,-99999.0,-99999.0
9,9.991e-05,1558029600,9.991e-05,9.658e-05,9.658e-05,16.5968,0.00165286,9.958e-05,0.01993595333333333,-99999.0,-99999.0,9.904333333333333e-05,-99999.0,-99999.0
10,9.872e-05,1558036800,9.872e-05,9.549e-05,9.567e-05,45.22916753,0.00435831,9.636e-05,0.003335906666666666,-99999.0,-99999.0,9.842e-05,-99999.0,-99999.0
