date,symbol,type,amnt,price,current_balance 
1525165200000,CLOAKBTC,none,0.0,0.0015702,1.0 
1525165200000,CDTBTC,none,0.0,7.17e-06,1.0 
1525167000000,CLOAKBTC,none,0.0,0.0015639,1.0 
1525167000000,CDTBTC,none,0.0,7.22e-06,1.0 
1525168800000,CLOAKBTC,none,0.0,0.001568,1.0 
1525168800000,CDTBTC,none,0.0,7.21e-06,1.0 
1525170600000,CLOAKBTC,none,0.0,0.0015868,1.0 
1525170600000,CDTBTC,none,0.0,7.23e-06,1.0 
1525172400000,CLOAKBTC,none,0.0,0.0015854,1.0 
1525172400000,CDTBTC,none,0.0,7.25e-06,1.0 
1525174200000,CLOAKBTC,none,0.0,0.00158,1.0 
1525174200000,CDTBTC,none,0.0,7.24e-06,1.0 
1525176000000,CLOAKBTC,none,0.0,0.0015653,1.0 
1525176000000,CDTBTC,none,0.0,7.2e-06,1.0 
1525177800000,CLOAKBTC,none,0.0,0.0015586,1.0 
1525177800000,CDTBTC,none,0.0,7.2e-06,1.0 
1525179600000,CLOAKBTC,none,0.0,0.0015595,1.0 
1525179600000,CDTBTC,none,0.0,7.14e-06,1.0 
1525181400000,CLOAKBTC,none,0.0,0.001569,1.0 
1525181400000,CDTBTC,none,0.0,7.16e-06,1.0 
1525183200000,CLOAKBTC,none,0.0,0.0015967,1.0 
1525183200000,CDTBTC,none,0.0,7.11e-06,1.0 
1525185000000,CLOAKBTC,none,0.0,0.0015623,1.0 
1525185000000,CDTBTC,none,0.0,7.13e-06,1.0 
1525186800000,CLOAKBTC,none,0.0,0.0015659,1.0 
1525186800000,CDTBTC,none,0.0,7.39e-06,1.0 
1525188600000,CLOAKBTC,none,0.0,0.0015685,1.0 
1525188600000,CDTBTC,none,0.0,7.44e-06,1.0 
1525190400000,CLOAKBTC,none,0.0,0.001565,1.0 
1525190400000,CDTBTC,none,0.0,7.8e-06,1.0 
1525192200000,CLOAKBTC,none,0.0,0.0015716,1.0 
1525192200000,CDTBTC,none,0.0,7.64e-06,1.0 
1525194000000,CLOAKBTC,none,0.0,0.0015782,1.0 
1525194000000,CDTBTC,none,0.0,7.74e-06,1.0 
1525195800000,CLOAKBTC,none,0.0,0.0015799,1.0 
1525195800000,CDTBTC,none,0.0,7.78e-06,1.0 
1525197600000,CLOAKBTC,none,0.0,0.0015965,1.0 
1525197600000,CDTBTC,none,0.0,7.64e-06,1.0 
1525199400000,CLOAKBTC,none,0.0,0.001623,1.0 
1525199400000,CDTBTC,none,0.0,7.62e-06,1.0 
1525201200000,CLOAKBTC,none,0.0,0.0016177,1.0 
1525201200000,CDTBTC,none,0.0,7.65e-06,1.0 
1525203000000,BTSBTC,buy,0.1999999999999996,3.927e-05,0.9988099009900989 
1525203000000,BTGBTC,buy,0.1999999999999995,0.007736,0.996429702970297 
1525203000000,CDTBTC,buy,0.19999999999999934,7.58e-06,0.9940495049504949 
1525203000000,BRDBTC,buy,0.19999999999999934,9e-05,0.991669306930693 
1525203000000,BQXBTC,buy,0.199999999999999,0.00038433,0.9892891089108911 
1528905600000,CDTBTC,sell,0.0,4.39e-06,0.6672300406095569 
1528905600000,BQXBTC,sell,0.0,0.00024295,0.665730431543194 
1528905600000,BRDBTC,sell,0.0,6.47e-05,0.66402502780282 
1528905600000,BTSBTC,sell,0.0,2.399e-05,0.6633004170224143 
1528905600000,BTGBTC,sell,0.0,0.004989,0.6617705190015883 
1528907400000,BTSBTC,buy,0.19999731210845995,2.419e-05,0.6593903209817864 
1528907400000,CDTBTC,buy,0.19999692126083216,4.39e-06,0.657010154950555 
1528907400000,CLOAKBTC,buy,0.19999652832163373,0.0007924,0.6546299935707973 
1528916400000,CLOAKBTC,none,0.0,0.0008008,0.6560357986324175 
1529105400000,CLOAKBTC,sell,0.0,0.0008673,0.6800559464935315 
1529105400000,CDTBTC,sell,0.0,4.56e-06,0.6775918374329504 
1529105400000,BTSBTC,sell,0.0,2.439e-05,0.6751999465034688 
1529121600000,BTSBTC,buy,0.1999972782711276,2.48e-05,0.6728197898000767 
1529121600000,CDTBTC,buy,0.19999688404441113,4.54e-06,0.6704396241715431 
1529121600000,CLOAKBTC,buy,0.19999648803766462,0.0008792,0.6680594632346977 
1529463600000,ADABTC,none,0.0,2.409e-05,0.6759995047098442 
1529463600000,CLOAKBTC,sell,0.0,0.0008057,0.6738255807061307 
1529463600000,CDTBTC,sell,0.0,5.27e-06,0.6710718954955196 
1529463600000,BTSBTC,sell,0.0,2.388e-05,0.6687876617517509 
1529465400000,ADABTC,none,0.0,2.402e-05,0.6687876617517509 
1529465400000,ADXBTC,none,0.0,6.415e-05,0.6687876617517509 
1529467200000,ADABTC,none,0.0,2.395e-05,0.6687876617517509 
