,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high
0,3.10515874,1570722994,3.10515874,3.10515874,3.10515874,0.0,0.0,3.10515874,1,1,1,1,1.0,1.0
1,3.10828332,1570723200,3.134879,3.10391637,3.10391637,87.99129448,273.83547153,3.11207458,1,1,1,1,0.9985950605043301,1.009975342860156
2,3.14091958,1570730400,3.147303,3.09964908,3.09964908,1684.85608842,5259.31730576,3.12152316,1,1,1,1,0.9868603767308172,1.0153739725917619
3,3.13397956,1570737600,3.16,3.13397956,3.15996017,186.31669366,588.13072296,3.1566185,1,1,1,1,1.0082899742970883,1.0083026833780626
4,3.11578316,1570744800,3.12011989,3.10046026,3.12011989,112.05579648,348.74498374,3.11224403,1,1,1,1,1.001391858732557,1.00634087469323
5,3.1020002,1570752000,3.1020002,3.0945582,3.09534116,432.36128516,1339.27106484,3.09757397,1,1,1,1,0.9978533076819273,1.0024048667108605
6,3.11928296,1570759200,3.12554489,3.11928296,3.11928296,31.68648338,98.94269044,3.12255194,1,1,1,1,1.0,1.0020074902085832
7,3.06915184,1570766400,3.19311531,3.04388787,3.160782,3208.64659272,9913.96401819,3.08976502,1,1,1,1,1.0298552058603918,1.049025275034195
8,3.05786595,1570773600,3.07465751,3.04962088,3.0691694,222.15099811,679.60641107,3.05920935,1,1,1,1,1.0036965158659097,1.0082097516331276
9,3.07662486,1570780800,3.07662486,3.00993918,3.06147526,991.05059217,3010.0722122,3.03725383,1,1,1,1,0.9950759027540329,1.0221551586301487
10,3.06320373,1570788000,3.07908854,3.06,3.06449397,7380.57302938,22606.36241497,3.06295491,1,1,1,1,1.0004212060684583,1.0062380849673203
11,3.07092556,1570795200,3.07092556,3.05698882,3.05698882,7.0,21.44770033,3.06395719,1,1,1,1,0.9954617135037295,1.0045589764374736
12,3.07092556,1570802400,3.07092556,3.07092556,3.07092556,0.0,0.0,3.07092556,1,1,1,1,1.0,1.0
13,3.09518521,1570809600,3.098214,3.04003858,3.04003858,357.50246867,1098.47563903,3.07263791,1,1,1,1,0.9821830920418492,1.0191364084596584
14,3.07867384,1570816800,3.10480315,3.07867384,3.10480315,413.2237,1272.46179857,3.07935338,1,1,1,1,1.0084871965521363,1.0084871965521363
15,3.06508217,1570824000,3.09264169,3.06508217,3.09264169,750.71189368,2306.38080932,3.07225825,1,1,1,1,1.0089914457334108,1.0089914457334108
16,3.06508217,1570831200,3.06508217,3.06508217,3.06508217,0.0,0.0,3.06508217,1,1,1,1,1.0,1.0
17,3.06508217,1570838400,3.06508217,3.06508217,3.06508217,0.0,0.0,3.06508217,1,1,1,1,1.0,1.0
18,3.06508217,1570845600,3.06508217,3.06508217,3.06508217,0.0,0.0,3.06508217,1,1,1,1,1.0,1.0
19,3.12136442,1570852800,3.13258991,3.08176478,3.08176478,2527.42163669,7887.7540033,3.12086985,1,1,1,1,0.9873133557407564,1.0164922158660015
20,3.10483088,1570860000,3.13049834,3.10483088,3.12999973,1676.35960933,5246.3565403,3.12961282,1,1,1,1,1.0081063513514141,1.0082669430291158
21,3.09835478,1570867200,3.10119706,3.09835478,3.10096266,3.0,9.29867407,3.09955802,1,1,1,1,1.000841698315775,1.0009173513692966
22,3.09803832,1570874400,3.09804064,3.06678398,3.09725163,116.39861082,358.05200335,3.07608485,1,1,1,1,0.9997460683443063,1.0101919992421506
23,3.0766441,1570881600,3.10491323,3.07099686,3.07099686,523.36675102,1623.86289567,3.1027246,1,1,1,1,0.9981644805780427,1.0110440913964334
24,3.08670394,1570888800,3.10074465,3.07809432,3.07809438,476.30620935,1472.24071685,3.09095428,1,1,1,1,0.997210759383681,1.0073585561861536
25,3.05784452,1570896000,3.091378,3.055,3.07853776,1138.52155373,3483.51749554,3.05968515,1,1,1,1,1.00676726362791,1.0119076923076924
26,3.06177067,1570903200,3.06625508,3.04271995,3.05601466,754.51717245,2299.99654248,3.04830244,1,1,1,1,0.9981200388205431,1.0077348985075014
27,3.075899,1570910400,3.075899,3.06299883,3.072495,5.15250646,15.84190697,3.07460205,1,1,1,1,0.998893331673114,1.0042116144066564
28,3.07220236,1570917600,3.08098389,3.07146483,3.078084,940.06300625,2888.09460427,3.07223514,1,1,1,1,1.001914470243425,1.0030991922508845
29,3.096714,1570924800,3.096714,3.08031887,3.08031887,400.8021826,1240.15301873,3.0941773,1,1,1,1,0.9947056363616402,1.0053225431171027
30,3.096714,1570932000,3.096714,3.096714,3.096714,0.0,0.0,3.096714,1,1,1,1,1.0,1.0
31,3.096714,1570939200,3.096714,3.096714,3.096714,0.0,0.0,3.096714,1,1,1,1,1.0,1.0
32,3.096714,1570946400,3.096714,3.096714,3.096714,0.0,0.0,3.096714,1,1,1,1,1.0,1.0
33,3.096714,1570953600,3.096714,3.096714,3.096714,0.0,0.0,3.096714,1,1,1,1,1.0,1.0
34,3.1133964,1570960800,3.12435743,3.08461262,3.08461262,463.34699782,1443.94894157,3.11634465,1,1,1,1,0.9907548617965898,1.012884862670373
35,3.11996572,1570968000,3.12558869,3.09544607,3.12473262,329.23036387,1025.25853005,3.11410684,1,1,1,1,1.0015278693510774,1.0097377306269788
36,3.10888545,1570975200,3.11182664,3.09872648,3.09872649,89.76395817,278.93910221,3.10747328,1,1,1,1,0.9967322823039363,1.0042275948150157
37,3.1173512,1570982400,3.13276325,3.10463766,3.11628323,500.67780221,1560.88814938,3.11755013,1,1,1,1,0.9996574110738631,1.0090592182019722
38,3.1173512,1570989600,3.1173512,3.1173512,3.1173512,0.0,0.0,3.1173512,1,1,1,1,1.0,1.0
39,3.07974699,1570996800,3.07974699,3.05389987,3.06765384,444.58306388,1361.41895422,3.06223755,1,1,1,1,0.9960733300367639,1.008463643570606
40,3.12813934,1571004000,3.12813934,3.079747,3.079747,1264.82115695,3928.79926739,3.10620932,1,1,1,1,0.9845299921965751,1.0157130894193582
41,3.117,1571011200,3.117,3.106815,3.106815,175.32105651,545.04656318,3.10884826,1,1,1,1,0.9967324350336862,1.0032782769492228
42,3.13262759,1571018400,3.1399352,3.12011698,3.12011698,926.21662621,2895.02987204,3.12565094,1,1,1,1,0.9960063526095677,1.0063517554396308
