,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high
0,0.301,1568856350,0.301,0.301,0.301,0.0,0.0,0.301,1,1,1,1,1.0,1.0
1,0.2913108,1568858400,0.30448869,0.289,0.29993547,427686.22039626,126901.1085457,0.29671544,1,1,1,1,1.0296064203592863,1.0535940830449828
2,0.2914936,1568865600,0.2925,0.28748545,0.2917218,245792.02865455,71413.93367723,0.29054617,1,1,1,1,1.000782864529444,1.0174427958006222
3,0.29473689,1568872800,0.29790742,0.28799997,0.29211534,968151.67393271,280095.30875415,0.28930932,1,1,1,1,0.9911054568025062,1.0344008716389796
4,0.29408101,1568880000,0.29999992,0.29301221,0.29505645,181494.74113569,53973.68526314,0.29738429,1,1,1,1,1.0033169091741083,1.0238478457945488
5,0.28712479,1568887200,0.29327672,0.2843,0.29327672,147214.45111326,42521.09740589,0.28883779,1,1,1,1,1.0214259799719836,1.0315748153359128
6,0.2920997,1568894400,0.2940792,0.28769517,0.2877536,213114.29012391,62076.39372202,0.29128217,1,1,1,1,0.9851211760915879,1.0221902578343598
7,0.29448348,1568901600,0.29448348,0.28965517,0.29160479,66926.17230393,19479.59150939,0.29106089,1,1,1,1,0.9902246129392385,1.0166691656151001
8,0.30469873,1568908800,0.30517241,0.29231406,0.29231406,453677.89813556,136710.86146372,0.30133903,1,1,1,1,0.9593543760421975,1.0439881338584946
9,0.30599995,1568916000,0.306,0.29934591,0.30224366,108572.26680453,32852.64909602,0.30258785,1,1,1,1,0.9877245404778661,1.0222287653771518
10,0.30070431,1568923200,0.30629585,0.29469982,0.306,121286.88747755,36387.22697765,0.30000957,1,1,1,1,1.0176109547615064,1.0393486158220253
11,0.30100011,1568930400,0.30170664,0.29835424,0.29835424,17126.89392966,5152.97430646,0.30087033,1,1,1,1,0.9912097374316574,1.0112363075517212
12,0.29282706,1568937600,0.30127549,0.28705744,0.29824552,77257.71736236,22583.62166061,0.29231541,1,1,1,1,1.0185039592993899,1.0495303309330704
13,0.29433596,1568944800,0.29586206,0.2920501,0.2920501,17004.32099545,5008.08112347,0.29451814,1,1,1,1,0.9922338405405848,1.0130524180611478
14,0.29100004,1568952000,0.29590686,0.29100004,0.29477746,96866.29196463,28286.38707167,0.29201476,1,1,1,1,1.0129808229579624,1.0168619220808355
15,0.29792739,1568959200,0.2979274,0.29167223,0.29172884,30514.40890934,8981.06051511,0.29432195,1,1,1,1,0.979194427205904,1.0214458880778607
16,0.29380835,1568966400,0.29801822,0.29297192,0.29651044,116073.63917773,34313.24296616,0.29561615,1,1,1,1,1.0091967774231059,1.017224517626126
17,0.293,1568973600,0.29376093,0.29086061,0.29376093,34100.65239771,9935.7660718,0.29136586,1,1,1,1,1.0025970307167236,1.0099715117835995
