date,current_balance 
309.63,9958.149253731342 
316.84,10131.64720446731 
331.18,10089.63304376874 
328.19,10077.979590805382 
339.06,10327.430098273271 
345.41,10362.727064987748 
351.09,9868.960067215074 
334.48,9841.847908589447 
334.51,9568.645438855894 
322.44,9048.036182305515 
312.5,8979.117937410254 
306.98,8644.994868304964 
287.67,8625.82931022394 
293.55,8857.15280521066 
294.26,8935.016846696242 
296.78,9173.723751186582 
307.67,9169.038405446572 
304.87,9228.256778247116 
310.33,9221.73441127395 
309.79,9151.215012455788 
294.2,9078.494409312003 
299.99,9197.800265331285 
306.99,9275.8095850563 
305.16,9458.566288496753 
309.11,9689.716402954666 
317.01,9652.337698396981 
318.17,9460.546409848259 
307.42,9426.8892001409 
301.3,9092.119894707414 
295.63,9118.287657316316 
301.81,9018.768633105623 
289.88,8989.303200761295 
298.19,9003.579518266395 
293.01,8943.172141231838 
294.54,8600.022878617456 
284.38,8526.48841676658 
281.78,8802.788137481972 
293.55,8815.465993873744 
288.0,8488.570582069438 
276.36,8521.151420488586 
275.41,8720.310375207315 
289.15,9039.762663512322 
288.32,8982.956926512761 
291.24,9210.146508538193 
295.38,9291.925773022966 
295.05,9197.326355761528 
292.42,9276.02086039384 
295.29,9361.97656920932 
293.06,9439.68789535341 
302.1,9445.441579814009 
298.35,9421.977086389476 
295.32,9458.300959991126 
294.71,9560.04556400553 
294.62,9597.105864678486 
295.36,9362.665452766572 
282.67,9232.581990139406 
285.28,9275.660201928116 
285.42,9330.99947847964 
293.59,9370.106592931834 
289.44,9317.566999072904 
289.87,9305.578661631676 
287.41,9420.054953373174 
294.01,9462.976336719797 
292.9,9412.995962478071 
290.91,9413.658426673046 
296.11,9423.95481752049 
292.54,9352.92013701209 
287.65,9290.231292077438 
287.46,9314.71173642223 
287.81,9303.472286376618 
294.04,9310.998301018744 
291.88,9306.077163739235 
308.12,9415.449002531475 
306.16,9387.81477309983 
305.49,9391.969526049312 
308.37,9440.32004912804 
308.2,9447.259897247535 
309.04,9423.605406782704 
310.41,9532.441122586655 
313.57,9575.757706263968 
315.01,9471.350328352293 
312.14,9337.081202914944 
311.15,9300.986014451682 
309.38,9348.178606249587 
307.01,9376.864808825396 
307.95,9428.62524322987 
311.21,9365.102455950466 
306.9,9362.47775752808 
308.08,8930.896133283915 
288.4,8741.539592540097 
287.31,8733.4946875284 
288.46,8694.452030967092 
282.74,8211.344098234746 
273.85,8120.9579305700445 
272.97,8186.712808191645 
269.52,8167.460875615938 
273.31,7961.341523721509 
268.49,8037.125896710659 
267.74,8211.4394929361 
272.99,8403.3422826094 
276.06,8329.944727025617 
271.79,8316.377939588081 
274.27,8422.274655225361 
275.46,8418.86262002142 
271.99,8187.385248187542 
269.01,8087.634252318647 
266.43,8118.995108066745 
270.81,8044.1370548035175 
267.02,7929.202513593869 
269.35,8118.05789806565 
267.72,8078.518082789072 
266.01,7696.37135287364 
243.04,7467.685673956875 
234.0,7444.7722937146855 
234.96,7507.568499869703 
237.5,7170.402989873692 
222.48,7176.412563245303 
