,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,0.03213545,1557035693,0.03213545,0.03213545,0.03213545,0.0,0.0,0.03213545,0,0,0,0,1.0,1.0,1.0,1.0
1,0.03326989,1557036000,0.0334858,0.0323108,0.0323108,13404.49470823,447.64898987,0.03339543,0,0,0,0,0.9935521922725454,1.0,0.9649104993758548,0.9649104993758548
2,0.0323967,1557043200,0.03326988,0.0323967,0.03326988,3965.43225979,129.83435498,0.03274153,1,1,0,0,0.9737546393314312,1.0,0.9737546393314312,1.0
3,0.03228671,1557050400,0.03228671,0.03228671,0.03228671,2434.3120509,78.59592723,0.03228671,1,1,0,0,1.0,1.0,1.0,1.0
4,0.0324615,1557057600,0.0324615,0.03202464,0.03202465,3440.09768987,111.30287022,0.03235456,0,0,0,0,1.0,1.0,0.9865422115429048,0.9865425196001418
5,0.03190062,1557064800,0.03228264,0.03189951,0.03228264,306572.3196356,9855.51775177,0.03214744,0,1,0,0,0.9881663953133943,1.0,0.9881320115083524,1.0
6,0.03206149,1557072000,0.03206149,0.03206147,0.03206148,375.65826522,12.04416033,0.03206148,1,1,0,0,1.0,1.0,0.9999993761986733,0.9999996880993368
7,0.03205952,1557079200,0.03205952,0.03205952,0.03205952,377.88618313,12.11484964,0.03205952,1,0,0,0,1.0,1.0,1.0,1.0
8,0.03242647,1557086400,0.03242647,0.03200468,0.03205951,7943.93646858,254.41328224,0.03202609,0,0,0,0,1.0,1.0,0.9869924169975949,0.9886833195225999
9,0.03190857,1557093600,0.03200468,0.031902,0.03200468,1132.01320786,36.19017611,0.03196974,1,1,0,0,0.9969970016885029,1.0,0.9967917192110654,1.0
10,0.03157896,1557100800,0.03207064,0.03118002,0.03207064,118636.82408426,3741.5140363,0.03153754,0,1,0,0,0.9846688435279123,1.0,0.9722294285365057,1.0
11,0.03157505,1557108000,0.03160269,0.0310119,0.03158886,2404.28131287,74.80362511,0.03111267,1,1,0,0,0.999125390908179,1.0,0.9813057053054659,0.9995623790253299
12,0.03199,1557115200,0.03199,0.03150598,0.03152669,665.89223781,21.05233393,0.03161522,1,0,1,0,1.0,1.0,0.9848696467646141,0.9855170365739295
13,0.03143732,1557122400,0.0322235,0.03143732,0.0322235,69.0778582,2.20089999,0.03186114,1,1,1,0,0.9756022778407062,1.0,0.9756022778407062,1.0
14,0.03085625,1557129600,0.03143735,0.03085625,0.03143735,254.24423399,7.98657892,0.03141301,1,1,1,0,0.981515617569547,1.0,0.981515617569547,1.0
15,0.03090366,1557136800,0.03121245,0.03059814,0.03121245,2073.95210905,64.01121059,0.03086436,0,1,1,0,0.9901068323697755,1.0,0.9803184306262405,1.0
16,0.03070626,1557144000,0.03082515,0.03059814,0.03082515,305.81404647,9.37910889,0.03066932,1,1,1,0,0.996143084461876,1.0,0.9926355589510514,1.0
17,0.03096155,1557151200,0.03118295,0.03087629,0.03087632,602.19335367,18.68273327,0.03102447,1,0,1,0,0.9928999661674088,1.0,0.9901657796969177,0.9901667417611226
18,0.03199,1557158400,0.03199,0.031184,0.031184,8772.72771381,277.83886591,0.03167074,0,0,0,0,1.0,1.0,0.9748046264457644,0.9748046264457644
19,0.03234,1557165600,0.03234,0.03199,0.03199,983.86615045,31.59783228,0.03211598,1,0,0,0,1.0,1.0,0.989177489177489,0.989177489177489
20,0.03234,1557172800,0.03234,0.03234,0.03234,0.0,0.0,0.03234,1,0,0,0,1.0,1.0,1.0,1.0
21,0.03195246,1557180000,0.0323978,0.03193453,0.0322379,14514.98244353,467.87309117,0.0322338,0,1,0,0,0.9862540049015676,1.0,0.9857005722610797,0.9950644796868924
22,0.0324,1557187200,0.0324,0.03200812,0.0320246,16433.91638872,527.01876197,0.03206896,0,0,0,0,1.0,1.0,0.987904938271605,0.9884135802469136
23,0.03286208,1557194400,0.03286208,0.03216042,0.03216042,8263.62128091,268.92286739,0.03254298,1,0,0,0,1.0,1.0,0.9786483387539681,0.9786483387539681
24,0.03240684,1557201600,0.03286208,0.03216691,0.03286208,1240.6256802,40.41896055,0.03257949,1,1,0,0,0.9861469511363857,1.0,0.9788458308177692,1.0
25,0.03242559,1557208800,0.03256877,0.03242559,0.03256877,3417.30252739,111.1777406,0.03253377,1,1,0,0,0.9956037639738928,1.0,0.9956037639738928,1.0
26,0.03242559,1557216000,0.03242559,0.03242559,0.03242559,0.0,0.0,0.03242559,1,0,0,0,1.0,1.0,1.0,1.0
27,0.03168731,1557223200,0.0321604,0.03168731,0.0321604,3548.51470512,112.46839407,0.03169449,0,1,1,0,0.9852896730140174,1.0,0.9852896730140174,1.0
28,0.03169389,1557230400,0.03169389,0.03162071,0.03162071,3003.62991457,94.99954761,0.03162824,0,1,1,0,1.0,1.0,0.9976910376100883,0.9976910376100883
29,0.03115237,1557237600,0.03124,0.0308,0.03124,34340.86456785,1069.19461067,0.03113476,0,1,1,0,0.997194942381562,1.0,0.9859154929577465,1.0
30,0.03149,1557244800,0.03149,0.03107661,0.03115104,342.09655363,10.6609819,0.03116366,1,0,1,0,1.0,1.0,0.9868723404255321,0.9892359479199747
