,close,date,high,low,open,quoteVolume,volume,weightedAverage,std_close,std_high,std_low
0,6.62000147,1560594670,6.62000147,6.62000147,6.62000147,0.0,0.0,6.62000147,1.0,1.0,1.0
1,6.61035205,1560600000,6.69878814,6.57961448,6.65204846,3160.28166334,20909.25672401,6.61626365,0.9937317940104123,1.0070263589150101,0.9891110264100512
2,6.71499969,1560607200,6.71499969,6.60740828,6.64,2233.52105782,14820.30069022,6.63539778,1.0112951340361447,1.0112951340361447,0.9950916084337349
3,6.83783591,1560614400,6.92679674,6.66620816,6.70495279,3905.74562314,26607.0321793,6.81227984,1.0198186511019416,1.0330865789735113,0.9942214910062029
4,6.86015465,1560621600,6.91123145,6.83276097,6.86193673,1600.36260733,11046.21598432,6.90232072,0.9997402948948496,1.007183791098581,0.9957481741455811
5,6.87006193,1560628800,6.87006193,6.8,6.86,1346.69177162,9183.13189386,6.81903022,1.001466753644315,1.001466753644315,0.9912536443148687
6,6.9,1560636000,6.90369716,6.77041909,6.82183926,332.7515752,2275.1613863,6.83741732,1.0114574291508593,1.0119993885637228,0.9924624184123623
7,6.93848768,1560643200,6.93848768,6.8,6.85310189,2888.70367094,19839.45861392,6.86794523,1.0124594368171578,1.0124594368171578,0.992251408070047
8,6.94888018,1560650400,6.95,6.87160326,6.92770025,2245.66510808,15540.85474517,6.92037948,1.0030572815271561,1.0032189253569395,0.9919025090613584
9,7.13211467,1560657600,7.15751597,6.92807662,6.92807662,4917.73118583,34718.47009186,7.0598552,1.029450893976978,1.0331173228277606,1.0
10,7.1,1560664800,7.16918709,7.04006869,7.16099984,5953.83788296,42135.73067857,7.07707053,0.9914816587958477,1.0011433110156305,0.9831125327884381
11,6.90003973,1560672000,7.14999973,6.87,7.132,9631.41325214,67549.41024673,7.0134474,0.9674761259113853,1.0025237983735278,0.9632641615255189
12,6.9916159,1560679200,6.99920962,6.85326529,6.85326529,6359.35237861,44458.75388074,6.99108198,1.0201875462492127,1.0212955903243606,1.0
13,7.04315979,1560686400,7.14886507,6.9299313,6.98963865,5099.02985602,36287.29498755,7.11650961,1.0076572112923177,1.0227803507410216,0.9914577343708605
14,7.06668562,1560693600,7.1,6.95960853,7.04348862,3761.51280508,26367.81053104,7.00989519,1.0032933963908357,1.0080232088172238,0.9880911158482144
15,6.94331521,1560700800,7.06022839,6.93684245,7.01682006,1614.61598823,11301.21342837,6.99931965,0.9895244784145142,1.0061863250915402,0.9886020149702971
16,6.85248004,1560708000,6.99,6.8286316,6.94680125,7794.21440688,53482.50981128,6.86182173,0.9864223537415872,1.0062185095622247,0.9829893434766108
17,6.93312859,1560715200,6.9732877,6.85287847,6.88,2617.28378817,18048.652318,6.89594777,1.0077221787790698,1.0135592587209303,0.9960579171511629
18,6.94364376,1560722400,7.05839252,6.94364376,7.05839252,569.51428447,3988.23022139,7.00286249,0.9837429330155756,1.0,0.9837429330155756
19,7.02899605,1560729600,7.08582984,7.0008051,7.01628,283.46544894,1997.65861481,7.04727374,1.001812363531672,1.0099126374660077,0.9977944295267578
20,7.07518706,1560736800,7.07518706,7.07518706,7.07518706,0.28267803,1.99999994,7.07518706,1.0,1.0,1.0
21,6.99800579,1560744000,7.06364189,6.99800579,7.06364189,152.75552552,1069.63249469,7.00225076,0.9907078953007341,1.0,0.9907078953007341
22,7.0550075,1560751200,7.0550075,7.01,7.01,338.53929216,2378.26188506,7.02506899,1.006420470756063,1.006420470756063,1.0
23,7.0,1560758400,7.0437458,7.0,7.0002255,224.89834646,1580.3360829,7.02689062,0.9999677867520125,1.0062169854385405,0.9999677867520125
24,7.07779836,1560765600,7.085,7.00000006,7.00000006,481.95377654,3405.78165062,7.06661471,1.0111140427618797,1.0121428484673471,1.0
25,7.13568914,1560772800,7.2255,7.07164521,7.07779839,3760.60696002,26871.83643142,7.14561152,1.0081792030247418,1.0208682985670634,0.9991306364407477
26,6.95516423,1560780000,7.15819791,6.95101566,7.13568913,2006.40355899,14150.10231339,7.0524707,0.9747011260284542,1.003154394703851,0.9741197427977079
27,7.00016667,1560787200,7.03416587,6.92945927,6.97,1685.68825053,11816.64080083,7.00997992,1.0043280731707316,1.009206007173601,0.9941835394548063
28,7.07796,1560794400,7.07796,7.01387214,7.01387214,506.86610737,3567.33584043,7.03802402,1.0091373008690174,1.0091373008690174,1.0
29,7.12795679,1560801600,7.13992726,7.04350782,7.07796,1283.15551407,9112.29594355,7.10147432,1.0070637288145172,1.0087549604688357,0.9951324703728194
30,7.14877141,1560808800,7.18402636,7.08962776,7.13,1261.18712661,9024.58181797,7.15562475,1.0026327363253857,1.007577329593268,0.9943376942496494
31,7.11824179,1560816000,7.14606476,7.04251705,7.14606476,94.99034235,673.37427673,7.08887093,0.9961065326253774,1.0,0.9855098276495328
32,7.05062155,1560823200,7.0994733,7.00766048,7.0994733,382.23206148,2686.53240165,7.02853756,0.9931189613742192,1.0,0.9870676575401728
33,6.96572554,1560830400,7.03999986,6.96572554,7.03999986,846.87122233,5926.8757348,6.99855607,0.9894496702447378,1.0,0.9894496702447378
34,6.87417913,1560837600,7.02652444,6.82843996,6.99149137,898.65057145,6186.02193897,6.88367885,0.983220713036509,1.0050108150244346,0.9766785938262553
35,6.94391287,1560844800,6.98380036,6.88,6.88,3876.36118611,26912.55928254,6.94273778,1.0092896613372093,1.015087261627907,1.0
36,6.89999999,1560852000,7.00806441,6.88,7.00806441,489.81048533,3396.54316583,6.93440272,0.9845799904684381,1.0,0.9817261368463934
37,6.93538728,1560859200,6.95000011,6.86991005,6.89596424,1664.89876778,11508.56464962,6.91247111,1.0057168277891186,1.0078358686500382,0.9962218206050326
38,6.85169757,1560866400,6.96784433,6.7,6.91932006,1460.53380986,9961.74133632,6.82061672,0.9902270036053223,1.0070128668104998,0.9683032352748255
