,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high
39,6.16107641,1559786400,6.16107641,6.0728351,6.0728351,319.18684239,1945.76260439,6.09599878,1,1,1,1,0.9856776147335592,1.0145304966373943
40,6.05,1559793600,6.133,6.05,6.1266382,582.2446548,3546.32871002,6.09078792,1,1,1,1,1.0126674710743802,1.013719008264463
41,5.900213,1559800800,6.02589757,5.900213,6.02589757,290.84449591,1725.10563103,5.93136763,1,1,1,1,1.0213017004640341,1.0213017004640341
42,6.00151578,1559808000,6.00151578,5.9,5.9,431.11195507,2578.42534061,5.98087181,1,1,1,1,0.983084976575701,1.0172060644067795
43,5.97679305,1559815200,5.97679305,5.97679305,5.97679305,31.05839479,185.62959812,5.97679305,1,1,1,1,1.0,1.0
44,5.80001285,1559822400,5.97679305,5.8,5.97679305,1114.51656497,6551.84760589,5.87864533,1,1,1,1,1.030479277300222,1.0304815603448276
45,5.80001285,1559829600,5.80001285,5.80001285,5.80001285,0.0,0.0,5.80001285,1,1,1,1,1.0,1.0
46,5.80001285,1559836800,5.80001285,5.80001285,5.80001285,0.0,0.0,5.80001285,1,1,1,1,1.0,1.0
47,5.85405615,1559844000,6.0707792,5.6556062,5.88551079,3138.19123597,18568.90190569,5.91707149,1,1,1,1,1.0053731360263771,1.073409106878764
48,6.00105457,1559851200,6.05256374,5.9,5.9,3995.08475222,24101.9571192,6.03290258,1,1,1,1,0.9831605313997337,1.025858261016949
49,6.01064059,1559858400,6.01064059,5.95756792,5.99,366.60368538,2187.63719071,5.96730823,1,1,1,1,0.9965659916458255,1.0089084456463906
50,5.90846933,1559865600,5.98292796,5.9,5.98292796,347.08968586,2052.83397612,5.91441941,1,1,1,1,1.012602016840798,1.014055586440678
51,5.96708518,1559872800,5.96708518,5.89746357,5.92030104,976.00816074,5782.55439125,5.92469881,1,1,1,1,0.9921596326198246,1.0118053480404965
52,6.0,1559880000,6.0,5.95931985,5.96171179,11.68564743,69.71484276,5.96585197,1,1,1,1,0.9936186316666666,1.00682630753575
53,6.11807824,1559887200,6.1768084,6.0399,6.0399,960.14885021,5893.76142641,6.13838304,1,1,1,1,0.987221765245029,1.022667328929287
54,6.22,1559894400,6.39328998,6.16941715,6.16941715,9523.98748915,59674.64457464,6.26572059,1,1,1,1,0.9918677090032155,1.03628751704689
55,6.20947324,1559901600,6.33665632,6.20947324,6.3349994,771.61494708,4851.02940401,6.28685255,1,1,1,1,1.0202152670843945,1.0204821045335561
56,6.28350014,1559908800,6.28350014,6.18346217,6.21599941,1078.43369289,6724.73075774,6.23564601,1,1,1,1,0.9892574634366126,1.01617831034616
57,6.45115317,1559916000,6.54999998,6.20198523,6.26949981,13409.93117256,86147.76433559,6.42417647,1,1,1,1,0.9718417226791718,1.0561134438561055
58,6.35999999,1559923200,6.45115317,6.35523187,6.42676193,4737.68967377,30310.85922918,6.3978144,1,1,1,1,1.0104971603938633,1.0150932809316995
59,6.24709374,1559930400,6.41558415,6.21495396,6.36,3555.04055244,22478.29311167,6.32293578,1,1,1,1,1.018073405762597,1.0322818465416275
60,6.28419859,1559937600,6.29294832,6.18346221,6.213712,2380.47642988,14763.22767303,6.20179535,1,1,1,1,0.9887835196500371,1.017706279472839
61,6.30214502,1559944800,6.33267249,6.27712072,6.29009495,243.18767008,1533.78107181,6.30698534,1,1,1,1,0.9980879414926571,1.0088498807778226
62,6.25,1559952000,6.26146856,6.25,6.26146856,140.0277154,876.09070605,6.25655216,1,1,1,1,1.0018349696,1.0018349696
63,6.21354037,1559959200,6.21875001,6.19245212,6.21875001,199.84635871,1237.77148283,6.19361538,1,1,1,1,1.000838433435655,1.0042467651732123
64,6.18325875,1559966400,6.20756746,6.1514545,6.20756746,105.29969563,648.44052607,6.15804748,1,1,1,1,1.0039313751830294,1.0091219011698778
65,6.08427717,1559973600,6.1663958,6.027,6.1514545,454.76791974,2775.152777,6.10234947,1,1,1,1,1.0110411357213038,1.0231285548365687
66,6.16437,1559980800,6.17994784,6.00000014,6.10472661,2380.04709577,14452.3924497,6.07231364,1,1,1,1,0.9903244954472233,1.0299912826335367
67,6.15826018,1559988000,6.17881991,6.15171668,6.16756,531.94752366,3278.84459306,6.16384971,1,1,1,1,1.0015101375596638,1.0044057994556408
68,6.10801933,1559995200,6.1252661,6.04100001,6.1252661,48.96145784,296.27321012,6.05115172,1,1,1,1,1.0028236272788613,1.0139490299388363
69,6.07653197,1560002400,6.10560419,6.00000033,6.10560419,1106.57948761,6706.04314327,6.06015493,1,1,1,1,1.0047843441198911,1.0176006423652981
70,6.02597307,1560009600,6.08208589,5.92970294,6.07653197,2015.20899135,12016.76912255,5.96303865,1,1,1,1,1.008390163615517,1.0256982434941335
71,6.05973457,1560016800,6.08,6.01842284,6.01856679,917.57812105,5544.57814887,6.04262244,1,1,1,1,0.9932063393991201,1.0102314446221263
72,6.10957466,1560024000,6.11797966,6.08134988,6.08134988,223.93566938,1365.64739692,6.09839156,1,1,1,1,0.9953802381391965,1.0060232975774779
73,6.12772756,1560031200,6.13017997,6.10928566,6.10928566,360.74034333,2205.40972297,6.11356551,1,1,1,1,0.9969904177658969,1.0034200905249535
74,6.02078134,1560038400,6.09813537,6.02078134,6.09813537,196.15568164,1188.76283804,6.06030285,1,1,1,1,1.012847839114516,1.012847839114516
75,5.98179066,1560045600,6.0207813,5.98179066,6.0207813,843.96453398,5055.40692169,5.99007033,1,1,1,1,1.00651822208703,1.00651822208703
76,6.06320126,1560052800,6.06320126,6.03106411,6.05126321,236.40834591,1429.09017013,6.04500727,1,1,1,1,0.9980310648635801,1.0053286036118756
77,6.11105865,1560060000,6.11105865,6.03,6.03603281,3338.80114422,20148.47394345,6.03464329,1,1,1,1,0.9877229389706479,1.0134425621890548
78,6.11472693,1560067200,6.11472693,6.11105877,6.11105877,634.5223,3877.6038009,6.11105992,1,1,1,1,0.9994001105786092,1.0006002495047188
79,6.10059698,1560074400,6.15778401,6.06005026,6.06935117,1479.95153202,9005.84409445,6.08522907,1,1,1,1,0.9948782373098182,1.0161275477606353
80,5.86580808,1560081600,6.10767638,5.85643029,6.10767638,2520.93561979,15029.89352635,5.96202989,1,1,1,1,1.0412335856716266,1.0429008931309247
81,5.8910337,1560088800,6.04727467,5.866371,5.91941598,1721.63066767,10242.455766,5.94927585,1,1,1,1,1.004817877718133,1.0308374069761357
82,5.75,1560096000,5.89960173,5.70386918,5.89960173,6780.39393705,38952.11345829,5.74481568,1,1,1,1,1.026017692173913,1.0343157502080018
83,5.9190985,1560103200,5.9190985,5.78631,5.78631,2406.01890376,14068.80927789,5.84733946,1,1,1,1,0.9775660938908182,1.022948735895588
84,5.78070635,1560110400,5.9228592,5.78070635,5.9228592,544.3294695,3191.68439936,5.86351571,1,1,1,1,1.0245909135308353,1.0245909135308353
85,5.82253,1560117600,5.82263555,5.6896314,5.7951767,1530.87987213,8768.34465826,5.72765036,1,1,1,1,0.9953021624620224,1.023376584641318
86,5.74830576,1560124800,5.7965803,5.74830576,5.78725376,46.41357695,267.05805924,5.75387799,1,1,1,1,1.0067755616395742,1.0083980466620133
87,5.898,1560132000,5.89830464,5.74001153,5.78771443,1366.73711133,7976.50387134,5.83616542,1,1,1,1,0.9813011919294677,1.0275771414696095
88,5.79450498,1560139200,5.91102855,5.76226406,5.91102855,2041.76574075,11784.66935171,5.77180286,1,1,1,1,1.020109322608607,1.0258170206104718
89,5.87476457,1560146400,5.93153976,5.86886671,5.87337957,300.20025901,1772.91417989,5.90577165,1,1,1,1,0.9997642458717286,1.0106789015830282
90,5.84607044,1560153600,5.95293861,5.84607044,5.9028526,602.02313044,3560.27378838,5.91384883,1,1,1,1,1.0097128764668117,1.0182803425132867
91,5.97831858,1560160800,5.97831858,5.747,5.84607044,4222.2665483,24891.5849709,5.89531349,1,1,1,1,0.9778787064907472,1.0402503184270053
92,6.01793637,1560168000,6.056,5.95866397,5.97831858,3978.09670878,23825.43391276,5.98915402,1,1,1,1,0.9934167150391455,1.01633521045826
93,5.90077001,1560175200,6.01940935,5.90077001,5.95866397,3573.44661747,21418.8839697,5.99390064,1,1,1,1,1.0098112551246512,1.020105738708498
94,5.92441827,1560182400,5.97988656,5.9,5.90000164,1382.04425108,8159.06249117,5.90361884,1,1,1,1,0.9958786451450194,1.0135400949152542
95,5.99999922,1560189600,5.99999922,5.92458523,5.92458523,37.33000325,223.05013588,5.97509018,1,1,1,1,0.9874310000326966,1.0127289906503718
96,5.97763684,1560196800,5.99971639,5.89688632,5.99971639,177.75558435,1058.83115447,5.95666886,1,1,1,1,1.0036936921045876,1.0174380282101148
97,6.03736299,1560204000,6.08199999,5.97763684,5.97763684,284.80591371,1712.92832051,6.01437062,1,1,1,1,0.9901072454813586,1.0174589311451046
98,6.02017771,1560211200,6.09972825,5.9999688,6.06385881,933.56658904,5670.87555035,6.07441998,1,1,1,1,1.0072557824875241,1.0166266614586394
99,5.98421139,1560218400,6.01810339,5.91709724,6.01810339,3554.20370106,21073.33602739,5.92913006,1,1,1,1,1.0056635699829448,1.0170702197214525
100,6.00905084,1560225600,6.00905084,5.93000005,5.93000005,19.59089048,116.37642604,5.94033365,1,1,1,1,0.9868447127333675,1.013330655874109
101,5.91559829,1560232800,5.948,5.91559829,5.948,591.62007318,3508.88418802,5.93097554,1,1,1,1,1.0054773343982424,1.0054773343982424
102,5.97812129,1560240000,5.97964799,5.93490052,5.97964799,160.35271882,955.45526571,5.95846002,1,1,1,1,1.0002553812353312,1.0075397169420457
103,5.79375055,1560247200,5.921414,5.79375055,5.921414,809.62837024,4751.73328966,5.86903011,1,1,1,1,1.0220346818348953,1.0220346818348953
104,5.81988367,1560254400,5.83381,5.77203481,5.83018683,1713.15998879,9982.81944677,5.82713786,1,1,1,1,1.0017703377909613,1.010702497825026
105,5.79381,1560261600,5.82865717,5.79381,5.82269436,107.22547321,623.30148365,5.8129982,1,1,1,1,1.0049853826756487,1.0060145517371126
106,5.9,1560268800,5.94799763,5.77908512,5.81957657,2313.64497937,13688.87103435,5.91658234,1,1,1,1,0.9863689101694915,1.029228244002746
107,5.85957265,1560276000,5.89243984,5.83328587,5.83328587,1435.37904623,8418.77451346,5.86519256,1,1,1,1,0.9955138742071916,1.0101407630824717
108,5.9240741,1560283200,5.9240741,5.8463319,5.8463319,828.16834081,4877.29980079,5.88926134,1,1,1,1,0.9868769028395509,1.0132976028952445
109,5.92763,1560290400,5.92763,5.89,5.89112,111.74889643,658.21618025,5.89013584,1,1,1,1,0.9938407086812099,1.0063887945670629
110,5.92763,1560297600,5.92763,5.92763,5.92763,0.0,0.0,5.92763,1,1,1,1,1.0,1.0
111,5.98,1560304800,6.00375055,5.948,5.948,704.46243604,4197.14269307,5.95793683,1,1,1,1,0.9946488294314382,1.009372990921318
112,6.01698838,1560312000,6.07640092,5.93426055,5.95734582,1168.37876809,7076.65262155,6.05681377,1,1,1,1,0.990087639158778,1.0239524990186013
113,6.09,1560319200,6.09,5.99655855,5.99655855,385.76486295,2345.39683734,6.07986123,1,1,1,1,0.9846565763546797,1.0155825127397446
114,6.12897097,1560326400,6.22950647,6.09,6.09,2646.67371864,16277.82683416,6.15029601,1,1,1,1,0.9936415149964399,1.0229074663382594
115,6.18089602,1560333600,6.24950647,6.15500001,6.2,954.36660698,5928.47101139,6.21194305,1,1,1,1,1.003090810772125,1.0153544207711545
116,6.12669,1560340800,6.19591149,6.12669,6.19591149,1102.09034981,6785.59625888,6.15702356,1,1,1,1,1.0112983503327246,1.0112983503327246
117,6.16,1560348000,6.18513612,6.0867171,6.11,1243.56358268,7596.18794698,6.10840334,1,1,1,1,0.9918831168831169,1.0161694750032
118,6.05617071,1560355200,6.20066229,6.01081199,6.16,1787.9855582,10893.28259222,6.09248913,1,1,1,1,1.0171443796702355,1.0315848009080717
119,6.10421735,1560362400,6.11305577,6.09652982,6.10421735,1742.97771627,10634.46470837,6.10131994,1,1,1,1,1.0,1.0027107142075786
120,6.02714294,1560369600,6.10496132,5.97702817,6.10496132,305.66127501,1844.99625707,6.03608113,1,1,1,1,1.0129113214627028,1.021404140379014
121,6.10853695,1560376800,6.10853695,5.98725434,6.02781137,735.87558328,4485.54201966,6.09551685,1,1,1,1,0.9867847930427923,1.0202567993795968
122,6.10853695,1560384000,6.10853695,6.0896539,6.09638294,80.90972045,493.23317959,6.09609298,1,1,1,1,0.9980103238959698,1.0031008412481373
123,6.08516179,1560391200,6.08516179,6.08086859,6.08086859,135.47549559,823.85161784,6.08118548,1,1,1,1,0.9992944805498754,1.0007060175592448
124,6.10853689,1560398400,6.10853689,6.02525082,6.02525082,33.14935727,202.02604454,6.09441814,1,1,1,1,0.9863656270724429,1.013822838664831
125,6.10853695,1560405600,6.10853695,6.06261901,6.06261901,168.38795955,1021.93393002,6.06892519,1,1,1,1,0.9924829889094801,1.0075739445154415
126,6.07,1560412800,6.11608598,6.07,6.11286641,1073.46417933,6552.52509424,6.10409291,1,1,1,1,1.0070620115321252,1.0075924184514002
127,6.12922226,1560420000,6.15331575,6.12922226,6.15331575,16.23489879,99.60933654,6.13550708,1,1,1,1,1.0039309212454632,1.0039309212454632
128,6.37999998,1560427200,6.37999998,6.173,6.173,3422.61981928,21381.72099609,6.24717968,1,1,1,1,0.9675548619672566,1.0335331248987527
129,6.35,1560434400,6.48989,6.35,6.35582351,2321.78390773,14932.37813333,6.43142459,1,1,1,1,1.0009170881889764,1.0220299212598425
130,6.28335288,1560441600,6.4397396,6.283,6.302,1704.70886696,10810.50128402,6.34155279,1,1,1,1,1.002967702173684,1.0249466178577114
131,6.30919081,1560448800,6.36794232,6.29880894,6.29880894,114.01198211,718.27142597,6.29996437,1,1,1,1,0.9983544847013432,1.01097562740171
132,6.3173,1560456000,6.36008939,6.3173,6.35763405,482.75507362,3054.55625655,6.32734159,1,1,1,1,1.0063846975764963,1.0067733667864436
133,6.25097112,1560463200,6.3173,6.219,6.3173,1010.19932522,6341.79679845,6.2777678,1,1,1,1,1.0106109720756478,1.015806399742724
134,6.14045888,1560470400,6.25826071,6.14045888,6.25826071,933.01018271,5739.39129579,6.15147766,1,1,1,1,1.0191845320198611,1.0191845320198611
135,6.17616877,1560477600,6.17616877,6.15503516,6.15503516,21.21398617,130.90115872,6.17051211,1,1,1,1,0.9965782006957687,1.0034335482171317
136,6.15863344,1560484800,6.15863344,6.13203977,6.13203977,258.8822054,1593.83546337,6.15660493,1,1,1,1,0.9956818878312718,1.0043368391265344
137,6.26636293,1560492000,6.27252589,6.18002439,6.18002439,71.6361877,444.54231692,6.20555519,1,1,1,1,0.9862219055990745,1.0149678211868676
138,6.1858571,1560499200,6.28303522,6.15926143,6.26397107,590.38524195,3669.15067,6.21484144,1,1,1,1,1.0126278329319958,1.020095557138902
139,6.1,1560506400,6.19665346,6.1,6.19665346,270.61902237,1666.95351576,6.15977953,1,1,1,1,1.0158448295081968,1.0158448295081968
140,6.03527731,1560513600,6.09398077,5.9696194,6.09099972,2832.74462083,17162.51441933,6.05861689,1,1,1,1,1.0092327837045156,1.0208323783589954
141,6.01860161,1560520800,6.07013996,6.0,6.04732137,530.59119782,3188.42108999,6.00918579,1,1,1,1,1.0047718327048398,1.0116899933333332
142,5.96992471,1560528000,6.03648737,5.9,6.01837574,5756.31470896,34097.14949035,5.92343386,1,1,1,1,1.0081158527709473,1.0231334525423728
143,6.0603822,1560535200,6.07013996,5.96500042,5.96992471,634.00178986,3817.25591134,6.02089137,1,1,1,1,0.9850739628269649,1.0176260741990022
144,6.06000011,1560542400,6.11,6.03528999,6.07,567.59963812,3452.27955348,6.0822441,1,1,1,1,1.0016501468347334,1.012378860025581
145,6.22270183,1560549600,6.25000003,6.10224,6.10224,5362.79598071,33069.45735134,6.16645821,1,1,1,1,0.980641555181184,1.0242140640158368
146,6.17,1560556800,6.24727,6.13611196,6.24693098,2623.25122372,16346.16842133,6.23126305,1,1,1,1,1.0124685542949756,1.0181153865386772
147,6.19418873,1560564000,6.20360664,6.16,6.16892867,2639.99075816,16333.82318115,6.18707589,1,1,1,1,0.9959219744342533,1.007079
148,6.14500001,1560571200,6.16620347,6.14500001,6.16620347,56.92350365,350.9953068,6.16608754,1,1,1,1,1.0034505223703,1.0034505223703
149,6.217578,1560578400,6.245,6.129,6.18010245,10673.84054295,65442.78946485,6.131138,1,1,1,1,0.993972644975262,1.0189264154021864
