,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high
0,0.315,1558707526,0.315,0.315,0.315,0.0,0.0,0.315,1,1,1,1,1.0,1.0
1,0.31086668,1558713600,0.3181287,0.31047052,0.3181287,2916.04819573,909.88329059,0.31202614,1,1,1,1,1.0233605608680865,1.0246663676796108
2,0.31196925,1558720800,0.31603122,0.31196925,0.31603122,455.72023135,143.99079756,0.31596314,1,1,1,1,1.0130204178777236,1.0130204178777236
3,0.31460553,1558728000,0.31646427,0.31320157,0.31320157,1090.28347694,344.9424456,0.31637867,1,1,1,1,0.9955373956713347,1.0104172530169628
4,0.31311764,1558735200,0.31568248,0.311969,0.31568248,5723.76619914,1797.41953231,0.31402742,1,1,1,1,1.0081912983248085,1.0119033621930384
5,0.31470314,1558742400,0.31540545,0.31281482,0.31540545,336.3853313,105.9594079,0.31499413,1,1,1,1,1.002231658699052,1.0082816728440167
6,0.31498855,1558749600,0.31519654,0.31494099,0.31505984,44.47914526,14.01379985,0.3150645,1,1,1,1,1.0002263256870765,1.0008114218476294
7,0.31382028,1558756800,0.31513119,0.31382028,0.31513119,41.9920093,13.21079991,0.3146027,1,1,1,1,1.004177263496164,1.004177263496164
8,0.31420184,1558764000,0.3155912,0.31300001,0.31381739,2071.62483031,649.60401541,0.31357222,1,1,1,1,0.9987764234607919,1.0082785620358288
9,0.3158073,1558771200,0.3158073,0.31523356,0.31551291,36.69559182,11.58593229,0.3157309,1,1,1,1,0.9990678176216952,1.0018200473325238
10,0.31528905,1558778400,0.31528905,0.31528905,0.31528905,3.17454729,1.00089999,0.31528905,1,1,1,1,1.0,1.0
11,0.31233848,1558785600,0.31450083,0.31233848,0.31450083,7992.02093679,2502.93703457,0.31317948,1,1,1,1,1.00692309830028,1.00692309830028
12,0.316988,1558792800,0.31801429,0.31584138,0.31584138,199.32393769,63.26733143,0.3174096,1,1,1,1,0.9963827652781809,1.0068797508420206
13,0.316988,1558800000,0.316988,0.316988,0.316988,0.0,0.0,0.316988,1,1,1,1,1.0,1.0
14,0.316988,1558807200,0.316988,0.316988,0.316988,0.0,0.0,0.316988,1,1,1,1,1.0,1.0
15,0.31527296,1558814400,0.3183917,0.31527296,0.31599999,1455.36097591,461.04326394,0.31678962,1,1,1,1,1.002306033476515,1.0098921899296407
