,date,open,high,low,close,volume
0,1579910400000,8425.5,8427.5,8251.0,8326.0,1484100809.0
1,1579996800000,8326.0,8599.5,8286.0,8597.5,1814758342.0
2,1580083200000,8597.5,8994.5,8566.0,8900.0,3131528831.0
3,1580169600000,8900.0,9434.0,8886.0,9400.0,4571974682.0
4,1580256000000,9400.0,9440.0,9235.0,9294.5,3016724002.0
5,1580342400000,9294.5,9579.0,9052.0,9510.0,3871834826.0
6,1580428800000,9510.0,9528.0,9205.0,9339.5,2429182170.0
7,1580515200000,9339.5,9464.0,9287.5,9382.0,1606928169.0
8,1580601600000,9382.0,9483.5,9113.0,9325.0,2558075884.0
9,1580688000000,9325.0,9619.0,9220.0,9282.0,2901398321.0
10,1580774400000,9282.0,9348.0,9080.0,9166.0,2851149240.0
11,1580860800000,9166.0,9779.0,9157.0,9630.0,3835754054.0
12,1580947200000,9630.0,9869.0,9530.0,9763.0,3831983024.0
13,1581033600000,9763.0,9890.0,9713.0,9815.0,2479752042.0
14,1581120000000,9815.0,9957.5,9665.5,9908.0,2628334844.0
15,1581206400000,9908.0,10185.5,9899.0,10172.5,2935217599.0
16,1581292800000,10172.5,10199.0,9715.5,9862.5,3654168022.0
17,1581379200000,9862.5,10400.0,9725.0,10286.0,3819505406.0
18,1581465600000,10286.0,10500.0,10257.0,10363.0,3195518429.0
19,1581552000000,10363.0,10550.0,10075.0,10241.0,4590116972.0
20,1581638400000,10241.0,10393.0,10119.0,10369.5,2321594602.0
21,1581724800000,10369.5,10402.5,9731.0,9907.0,2793702129.0
22,1581811200000,9907.0,10049.0,9642.0,9934.0,2631092637.0
23,1581897600000,9934.0,9970.0,9485.0,9715.0,3536302919.0
24,1581984000000,9715.0,10300.0,9621.0,10195.5,3722933606.0
25,1582070400000,10195.5,10331.0,9260.5,9596.5,4113270117.0
26,1582156800000,9596.5,9688.0,9354.0,9607.5,2896538588.0
27,1582243200000,9607.5,9788.0,9506.0,9694.0,1943485619.0
28,1582329600000,9694.0,9718.5,9560.5,9675.5,1047504190.0
29,1582416000000,9675.5,10045.0,9674.5,9896.5,1769195508.0
