,adj_close,close,date,high,low,open
99,17.52,17.52,"Aug 13, 2019",21.64,17.52,21.28
98,22.1,22.1,"Aug 14, 2019",22.71,17.75,17.81
97,21.18,21.18,"Aug 15, 2019",24.1,20.78,21.58
96,18.47,18.47,"Aug 16, 2019",20.5,18.41,20.48
95,16.88,16.88,"Aug 19, 2019",18.22,16.52,17.93
94,17.5,17.5,"Aug 20, 2019",17.7,16.45,16.78
93,15.8,15.8,"Aug 21, 2019",17.04,15.51,17.01
92,16.68,16.68,"Aug 22, 2019",17.68,15.63,16.12
91,19.87,19.87,"Aug 23, 2019",21.07,16.04,16.15
90,19.32,19.32,"Aug 26, 2019",21.33,19.06,20.34
89,20.31,20.31,"Aug 27, 2019",21.04,18.49,20.18
88,19.35,19.35,"Aug 28, 2019",21.64,19.1,20.55
87,17.88,17.88,"Aug 29, 2019",19.2,17.6,19.02
86,18.98,18.98,"Aug 30, 2019",19.18,17.09,17.94
85,19.66,19.66,"Sep 03, 2019",21.15,19.41,20.96
84,17.33,17.33,"Sep 04, 2019",18.83,17.26,18.23
83,16.27,16.27,"Sep 05, 2019",17.05,15.45,16.92
82,15.0,15.0,"Sep 06, 2019",16.06,14.91,15.92
81,15.27,15.27,"Sep 09, 2019",16.13,14.95,15.26
80,15.2,15.2,"Sep 10, 2019",16.52,15.11,15.53
79,14.61,14.61,"Sep 11, 2019",15.52,14.55,15.33
78,14.22,14.22,"Sep 12, 2019",14.94,13.85,14.69
77,13.74,13.74,"Sep 13, 2019",14.31,13.51,14.16
76,14.67,14.67,"Sep 16, 2019",15.29,14.5,14.89
75,14.44,14.44,"Sep 17, 2019",15.03,14.4,14.92
74,13.95,13.95,"Sep 18, 2019",15.8,13.8,14.61
73,14.05,14.05,"Sep 19, 2019",14.66,13.31,14.66
72,15.32,15.32,"Sep 20, 2019",15.84,13.35,13.94
71,14.91,14.91,"Sep 23, 2019",16.0,14.71,15.35
70,17.05,17.05,"Sep 24, 2019",17.62,14.33,14.77
69,15.96,15.96,"Sep 25, 2019",18.45,15.69,17.05
68,16.07,16.07,"Sep 26, 2019",17.09,15.35,16.23
67,17.22,17.22,"Sep 27, 2019",18.69,15.15,15.77
66,16.24,16.24,"Sep 30, 2019",17.35,16.2,17.23
65,18.56,18.56,"Oct 01, 2019",18.62,15.79,16.02
64,20.56,20.56,"Oct 02, 2019",21.46,18.75,18.75
63,19.12,19.12,"Oct 03, 2019",21.44,19.03,20.11
62,17.04,17.04,"Oct 04, 2019",19.97,16.97,19.42
61,17.86,17.86,"Oct 07, 2019",18.52,16.44,18.27
60,20.28,20.28,"Oct 08, 2019",20.38,17.42,17.61
59,18.64,18.64,"Oct 09, 2019",20.0,17.77,19.94
58,17.57,17.57,"Oct 10, 2019",19.8,17.56,19.28
57,15.58,15.58,"Oct 11, 2019",17.44,15.11,17.35
56,14.57,14.57,"Oct 14, 2019",16.5,14.51,15.66
55,13.54,13.54,"Oct 15, 2019",14.43,13.39,13.94
54,13.68,13.68,"Oct 16, 2019",14.26,13.6,13.94
53,13.79,13.79,"Oct 17, 2019",14.18,13.31,13.79
52,14.25,14.25,"Oct 18, 2019",15.16,13.78,14.2
51,14.0,14.0,"Oct 21, 2019",14.63,14.0,14.24
50,14.46,14.46,"Oct 22, 2019",14.61,13.7,13.99
49,14.01,14.01,"Oct 23, 2019",15.12,14.01,14.83
48,13.71,13.71,"Oct 24, 2019",14.34,13.4,13.98
47,12.65,12.65,"Oct 25, 2019",13.79,12.62,13.53
46,13.11,13.11,"Oct 28, 2019",13.14,12.66,13.01
45,13.2,13.2,"Oct 29, 2019",13.52,13.07,13.16
44,12.33,12.33,"Oct 30, 2019",13.37,12.27,13.08
43,13.22,13.22,"Oct 31, 2019",13.95,13.18,13.51
42,12.3,12.3,"Nov 01, 2019",12.6,12.26,12.5
41,12.83,12.83,"Nov 04, 2019",13.13,12.44,12.68
40,13.1,13.1,"Nov 05, 2019",13.28,12.25,12.85
39,12.62,12.62,"Nov 06, 2019",13.39,12.6,13.18
38,12.73,12.73,"Nov 07, 2019",12.89,12.26,12.59
37,12.07,12.07,"Nov 08, 2019",13.05,12.0,12.98
36,12.69,12.69,"Nov 11, 2019",13.49,12.66,13.15
35,12.68,12.68,"Nov 12, 2019",13.1,12.36,12.64
34,13.0,13.0,"Nov 13, 2019",13.9,12.88,12.91
33,13.05,13.05,"Nov 14, 2019",13.81,12.93,13.16
32,12.05,12.05,"Nov 15, 2019",12.97,11.92,12.95
31,12.46,12.46,"Nov 18, 2019",13.1,12.32,12.39
30,12.86,12.86,"Nov 19, 2019",13.01,12.16,12.33
29,12.78,12.78,"Nov 20, 2019",14.17,12.61,13.42
28,13.13,13.13,"Nov 21, 2019",13.86,12.49,13.35
27,12.34,12.34,"Nov 22, 2019",13.25,12.33,12.82
26,11.87,11.87,"Nov 25, 2019",12.59,11.73,12.51
25,11.54,11.54,"Nov 26, 2019",12.04,11.42,11.88
24,11.75,11.75,"Nov 27, 2019",11.79,11.44,11.55
23,12.62,12.62,"Nov 29, 2019",12.83,12.12,12.5
22,14.91,14.91,"Dec 02, 2019",15.27,12.55,12.69
21,15.96,15.96,"Dec 03, 2019",17.99,14.61,14.68
20,14.8,14.8,"Dec 04, 2019",16.4,14.12,16.38
19,14.52,14.52,"Dec 05, 2019",15.37,14.17,14.46
18,13.62,13.62,"Dec 06, 2019",14.47,13.19,14.37
17,15.86,15.86,"Dec 09, 2019",16.07,12.25,14.25
16,15.68,15.68,"Dec 10, 2019",16.9,14.93,15.8
15,14.99,14.99,"Dec 11, 2019",15.97,14.98,15.57
14,13.94,13.94,"Dec 12, 2019",15.55,13.6,14.94
13,12.63,12.63,"Dec 13, 2019",14.35,12.54,13.18
12,12.14,12.14,"Dec 16, 2019",12.53,11.71,12.47
11,12.29,12.29,"Dec 17, 2019",12.47,11.9,12.23
10,12.58,12.58,"Dec 18, 2019",12.7,11.93,12.24
9,12.5,12.5,"Dec 19, 2019",12.78,12.43,12.55
8,12.51,12.51,"Dec 20, 2019",12.61,12.04,12.55
7,12.61,12.61,"Dec 23, 2019",12.9,12.41,12.81
6,12.67,12.67,"Dec 24, 2019",12.84,12.56,12.65
5,12.65,12.65,"Dec 26, 2019",12.75,11.72,12.74
4,13.43,13.43,"Dec 27, 2019",13.72,11.89,12.61
3,14.82,14.82,"Dec 30, 2019",15.14,13.44,13.74
2,13.78,13.78,"Dec 31, 2019",15.39,13.75,14.84
1,12.47,12.47,"Jan 02, 2020",13.72,12.42,13.46
0,14.02,14.02,"Jan 03, 2020",16.2,13.13,15.01
