,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,0.00056515,1561160959,0.00056515,0.00056515,0.00056515,0.0,0.0,0.00056515,0,0,0,0,1.0,1.0,1.0,1.0
1,0.00055534,1561161600,0.00057,0.00055418,0.00056287,1667.47782592,0.93312125,0.0005596,0,0,0,0,0.974280701754386,1.0,0.9722456140350878,0.9874912280701755
2,0.00054708,1561168800,0.00056734,0.00054708,0.00055567,3654.52720341,2.02269069,0.00055347,0,1,0,0,0.9642894913103254,1.0,0.9642894913103254,0.9794303239679908
3,0.00054547,1561176000,0.00056868,0.00054547,0.00054708,5397.76317521,3.04443256,0.00056401,0,1,0,0,0.9591861855525077,1.0,0.9591861855525077,0.9620173032285293
4,0.000529,1561183200,0.00056495,0.00050695,0.00054637,6392.07755506,3.32394294,0.00052,0,1,0,0,0.9363660500929284,1.0,0.8973360474378264,0.9671121338171519
5,0.000512,1561190400,0.00053083,0.00050023,0.000529,1794.08530791,0.91472916,0.00050985,1,1,0,0,0.9645272497786485,1.0,0.942354426087448,0.996552568618955
6,0.00048737,1561197600,0.00052183,0.000475,0.000512,6316.13811266,3.11533714,0.00049323,0,1,0,0,0.933963168081559,1.0,0.9102581300423509,0.9811624475403866
7,0.00051205,1561204800,0.00051781,0.0004754,0.000488,2124.56789554,1.05343575,0.00049583,1,0,0,0,0.9888762287325468,1.0,0.9180973716227961,0.9424306212703502
8,0.00052742,1561212000,0.00053458,0.00050719,0.00051865,2169.43855557,1.12539083,0.00051874,1,0,0,0,0.9866063077556213,1.0,0.9487635152830259,0.9702009053836655
9,0.00054988,1561219200,0.00055798,0.00052693,0.00053366,1547.34835753,0.83796572,0.00054154,1,0,0,0,0.9854833506577296,1.0,0.9443528441879637,0.9564142083945661
10,0.00053177,1561226400,0.00054437,0.0005282,0.00054437,851.7780325,0.45429067,0.00053334,1,1,0,0,0.9768539779929093,1.0,0.9702959384242337,1.0
