,index,date,open,high,low,close,volume,std_close,std_high,std_low,std_open,avg_vol_3
30,30,1579489200000,0.0423,0.0424,0.0421,0.0424,6935.2,1.0,1.0,0.9929245283018867,0.9976415094339622,1
31,31,1579492800000,0.0423,0.0423,0.0421,0.0422,27496.0,0.9976359338061467,1.0,0.9952718676122931,1.0,0
32,32,1579496400000,0.0421,0.0424,0.0421,0.0424,42117.9,1.0,1.0,0.9929245283018867,0.9929245283018867,0
33,33,1579500000000,0.0424,0.0424,0.0424,0.0424,2500.0,1.0,1.0,1.0,1.0,1
34,34,1579503600000,0.0426,0.0431,0.0426,0.0431,7188.7,1.0,1.0,0.988399071925754,0.988399071925754,1
35,35,1579507200000,0.0431,0.0434,0.0431,0.0434,6813.3,1.0,1.0,0.9930875576036866,0.9930875576036866,0
36,36,1579510800000,0.0432,0.0432,0.0432,0.0432,495.8,1.0,1.0,1.0,1.0,1
37,37,1579514400000,0.0435,0.0435,0.0435,0.0435,5000.0,1.0,1.0,1.0,1.0,0
38,38,1579518000000,0.0435,0.0435,0.0435,0.0435,0.0,1.0,1.0,1.0,1.0,1
39,39,1579521600000,0.0427,0.0429,0.0425,0.0429,25074.9,1.0,1.0,0.9906759906759908,0.9953379953379954,0
40,40,1579525200000,0.0426,0.0426,0.0422,0.0422,41372.7,0.9906103286384977,1.0,0.9906103286384977,1.0,0
41,41,1579528800000,0.0429,0.0434,0.0429,0.0432,31832.6,0.9953917050691244,1.0,0.988479262672811,0.988479262672811,1
42,42,1579532400000,0.0436,0.0436,0.0435,0.0436,16649.8,1.0,1.0,0.9977064220183486,1.0,1
43,43,1579536000000,0.0438,0.044,0.0437,0.0437,36132.5,0.9931818181818183,1.0,0.9931818181818183,0.9954545454545455,0
44,44,1579539600000,0.0437,0.0437,0.0435,0.0435,33543.8,0.9954233409610983,1.0,0.9954233409610983,1.0,0
45,45,1579543200000,0.0435,0.0437,0.0435,0.0436,33241.1,0.9977116704805491,1.0,0.9954233409610983,0.9954233409610983,1
46,46,1579546800000,0.0437,0.0437,0.0436,0.0436,11601.9,0.9977116704805491,1.0,0.9977116704805491,1.0,1
47,47,1579550400000,0.0438,0.0441,0.0438,0.0441,40924.4,1.0,1.0,0.9931972789115646,0.9931972789115646,0
48,48,1579554000000,0.0441,0.0441,0.044,0.044,116635.8,0.9977324263038548,1.0,0.9977324263038548,1.0,0
49,49,1579557600000,0.0442,0.0445,0.044,0.044,71443.0,0.9887640449438202,1.0,0.9887640449438202,0.9932584269662923,1
50,50,1579561200000,0.0441,0.0441,0.0439,0.0439,80008.4,0.9954648526077098,1.0,0.9954648526077098,1.0,1
51,51,1579564800000,0.0438,0.044,0.0436,0.0439,17964.0,0.9977272727272728,1.0,0.990909090909091,0.9954545454545455,1
52,52,1579568400000,0.0439,0.044,0.0439,0.044,27108.0,1.0,1.0,0.9977272727272728,0.9977272727272728,1
53,53,1579572000000,0.044,0.0442,0.0435,0.0442,1105690.4,1.0,1.0,0.9841628959276016,0.9954751131221719,0
54,54,1579575600000,0.0448,0.0454,0.0448,0.0453,753211.3,0.9977973568281938,1.0,0.9867841409691629,0.9867841409691629,0
55,55,1579579200000,0.0457,0.0462,0.0452,0.0453,141046.1,0.9805194805194806,1.0,0.9783549783549783,0.9891774891774892,1
56,56,1579582800000,0.0452,0.0455,0.0452,0.0452,22842.6,0.9934065934065933,1.0,0.9934065934065933,0.9934065934065933,1
57,57,1579586400000,0.0453,0.0453,0.0449,0.0452,17522.1,0.9977924944812362,1.0,0.9911699779249449,1.0,1
58,58,1579590000000,0.0452,0.0452,0.0449,0.0451,9396.9,0.9977876106194691,1.0,0.9933628318584072,1.0,1
59,59,1579593600000,0.0451,0.0452,0.0449,0.0449,21067.6,0.9933628318584072,1.0,0.9933628318584072,0.9977876106194691,0
60,60,1579597200000,0.0455,0.0455,0.0455,0.0455,1112.1,1.0,1.0,1.0,1.0,1
61,61,1579600800000,0.0459,0.0461,0.0456,0.0461,15000.0,1.0,1.0,0.9891540130151844,0.9956616052060738,0
62,62,1579604400000,0.0467,0.0468,0.0461,0.0461,14164.6,0.9850427350427351,1.0,0.9850427350427351,0.9978632478632478,0
63,63,1579608000000,0.046,0.0462,0.046,0.0461,1517.3,0.997835497835498,1.0,0.9956709956709957,0.9956709956709957,1
64,64,1579611600000,0.046,0.0462,0.046,0.0462,32748.9,1.0,1.0,0.9956709956709957,0.9956709956709957,0
65,65,1579615200000,0.0462,0.0468,0.0461,0.0465,117321.3,0.9935897435897435,1.0,0.9850427350427351,0.9871794871794871,0
66,66,1579618800000,0.0464,0.0466,0.0461,0.0461,38657.8,0.9892703862660944,1.0,0.9892703862660944,0.9957081545064377,1
67,67,1579622400000,0.0462,0.0464,0.0455,0.0456,188813.5,0.9827586206896552,1.0,0.9806034482758621,0.9956896551724138,0
68,68,1579626000000,0.0456,0.0457,0.0456,0.0457,10211.6,1.0,1.0,0.9978118161925603,0.9978118161925603,1
69,69,1579629600000,0.0457,0.0457,0.0453,0.0455,10346.5,0.9956236323851204,1.0,0.9912472647702407,1.0,1
70,70,1579633200000,0.0454,0.0456,0.0435,0.0446,52694.2,0.9780701754385964,1.0,0.9539473684210525,0.9956140350877193,0
71,71,1579636800000,0.0453,0.046,0.0453,0.0459,652682.7,0.9978260869565219,1.0,0.9847826086956522,0.9847826086956522,0
72,72,1579640400000,0.046,0.046,0.0457,0.0457,123817.1,0.9934782608695651,1.0,0.9934782608695651,1.0,1
73,73,1579644000000,0.0459,0.0459,0.0455,0.0458,6943.4,0.9978213507625272,1.0,0.9912854030501088,1.0,1
74,74,1579647600000,0.0458,0.0462,0.0458,0.0462,146482.6,1.0,1.0,0.9913419913419914,0.9913419913419914,0
75,75,1579651200000,0.0462,0.0464,0.0458,0.046,120533.2,0.9913793103448276,1.0,0.9870689655172414,0.9956896551724138,0
76,76,1579654800000,0.0463,0.0463,0.0456,0.0458,112458.8,0.9892008639308855,1.0,0.9848812095032398,1.0,1
