,index,date,open,high,low,close,volume,std_close,std_high,std_low,std_open,avg_vol_3
0,0,1579381200000,1.0011,1.0011,1.0001,1.0011,7052.77,1.0,1.0,0.9990010987913295,1.0,0
1,1,1579384800000,1.0011,1.0012,1.0004,1.0004,9948.15,0.9992009588493806,1.0,0.9992009588493806,0.9999001198561726,0
2,2,1579388400000,1.001,1.0013,0.9999,1.0,47618.91,0.9987016878058523,1.0,0.9986018176370718,0.999700389493658,0
3,3,1579392000000,1.0001,1.0009,0.9991,1.0009,25723.95,1.0,1.0,0.9982016185433111,0.9992007193525828,1
4,4,1579395600000,1.0009,1.0011,0.9997,0.9997,28748.21,0.9986015383078612,1.0,0.9986015383078612,0.9998002197582657,1
5,5,1579399200000,1.0003,1.0003,0.9994,1.0002,1738.82,0.9999000299910027,1.0,0.9991002699190242,1.0,1
6,6,1579402800000,1.0005,1.0005,0.9993,1.0003,8673.17,0.9998000999500251,1.0,0.9988005997001499,1.0,1
7,7,1579406400000,0.9993,0.9999,0.999,0.9999,7671.2,1.0,1.0,0.9990999099909991,0.9993999399939993,0
8,8,1579410000000,0.9995,1.0,0.999,0.9997,8457.87,0.9997,1.0,0.999,0.9995,0
9,9,1579413600000,0.9991,0.9998,0.9991,0.9992,7273.13,0.9993998799759951,1.0,0.9992998599719943,0.9992998599719943,1
10,10,1579417200000,1.0,1.0,0.999,0.9997,6120.15,0.9997,1.0,0.999,1.0,1
11,11,1579420800000,0.9994,1.0,0.9993,0.9993,1871.03,0.9993,1.0,0.9993,0.9994,1
12,12,1579424400000,0.9995,0.9997,0.9988,0.9996,3855.11,0.9998999699909973,1.0,0.9990997299189757,0.9997999399819946,1
13,13,1579428000000,0.9996,0.9999,0.999,0.9998,6442.77,0.9998999899989999,1.0,0.9990999099909991,0.9996999699969997,0
14,14,1579431600000,0.9996,1.0,0.9985,0.9997,64594.12,0.9997,1.0,0.9985,0.9996,0
15,15,1579435200000,1.0,1.0005,0.9992,0.9995,18045.44,0.9990004997501251,1.0,0.9987006496751625,0.9995002498750625,1
16,16,1579438800000,1.0002,1.0007,0.9995,0.9999,24083.8,0.9992005596082743,1.0,0.9988008394124115,0.9995003497551714,1
