,index,date,open,high,low,close,volume,hl_spread,oc_spread,roc_close,roc_volume,volume_feature
0,141,1584273600000,0.0039,0.0039,0.0036,0.0037,84328.9,0.9230769230769231,0.9487179487179488,0.08823529411764719,-0.9649924803215569,1
1,140,1584259200000,0.0036,0.004,0.0035,0.004,857165.3,0.875,1.1111111111111112,0.08108108108108114,0.20811990356636723,-1
2,139,1584244800000,0.0035,0.0036,0.0035,0.0036,543007.5,0.9722222222222223,1.0285714285714285,0.0,-0.7544137192461139,1
3,138,1584230400000,0.0035,0.0036,0.0035,0.0035,403660.6,0.9722222222222223,1.0,0.02941176470588247,-0.8544508755848901,1
4,137,1584216000000,0.0038,0.0038,0.0032,0.0036,1632448.5,0.8421052631578948,0.9473684210526315,0.125,0.9153325890775079,-1
5,136,1584201600000,0.0037,0.0038,0.0037,0.0038,335794.8,0.9736842105263158,1.027027027027027,0.08571428571428563,-0.571436557206448,-1
6,135,1584187200000,0.0035,0.0037,0.0035,0.0037,231375.1,0.9459459459459459,1.0571428571428572,0.15625,0.21804126940508017,1
7,134,1584172800000,0.0035,0.0037,0.0035,0.0036,350581.8,0.9459459459459459,1.0285714285714285,0.19999999999999996,-0.4371418034777965,1
8,133,1584158400000,0.0036,0.0036,0.0034,0.0034,489281.9,0.9444444444444444,0.9444444444444444,-0.08108108108108114,0.15574069822264924,1
9,132,1584144000000,0.0036,0.0037,0.0035,0.0037,473596.9,0.9459459459459459,1.027777777777778,-0.11904761904761896,7.6839240004987435,1
10,131,1584129600000,0.0034,0.0037,0.0034,0.0036,3176069.1,0.9189189189189189,1.0588235294117647,-0.16279069767441867,177.37973951283624,-1
11,130,1584115200000,0.0032,0.0034,0.0029,0.0034,4327225.8,0.8529411764705882,1.0625,-0.19047619047619047,44.08545994250783,-1
12,129,1584100800000,0.0035,0.0041,0.0031,0.0032,1010064.0,0.7560975609756097,0.9142857142857143,-0.36,3.870458826014125,1
13,128,1584086400000,0.0035,0.0036,0.0033,0.0035,1665070.6,0.9166666666666667,1.0,-0.35185185185185186,1.8443039378017247,1
14,127,1584072000000,0.003,0.0033,0.0029,0.0032,4419467.6,0.8787878787878788,1.0666666666666667,-0.4385964912280702,3.7862509317798017,1
15,126,1584057600000,0.0037,0.004,0.0023,0.003,11735218.4,0.575,0.8108108108108107,-0.4545454545454545,30.934365826864262,-1
16,125,1584043200000,0.0041,0.0041,0.0037,0.0037,2408879.6,0.9024390243902438,0.9024390243902438,-0.3620689655172413,3.0362127875756846,-1
