<<<<<<< HEAD
,index,date,open,high,low,close,volume,hl_spread,oc_spread,roc_55,roc_21,roc_8,volume_feature
0,75,1583928000000,16.4909,16.5012,16.4909,16.5012,78.32,0.010300000000000864,0.010300000000000864,-0.15842836451171993,-0.1498477565341041,-0.003261815018845926,1.2392785255062189
1,74,1583913600000,16.7494,16.7494,16.2806,16.4312,164.55,0.46880000000000166,-0.3182000000000009,-0.14242171189979125,-0.18482688138435355,0.0020246371508720884,0.5800972348830142
2,73,1583899200000,16.675,16.7811,16.5897,16.5897,85.72,0.19139999999999802,-0.08530000000000015,-0.13357044372023064,-0.1740212796678101,0.0065588292398797154,1.117046608657462
3,72,1583884800000,17.0479,17.0479,16.8615,16.8675,60.68,0.186399999999999,-0.18039999999999878,-0.11175999747232723,-0.20314160859808672,0.032788390889052055,1.563345806351545
4,71,1583870400000,16.9785,17.1206,16.8783,16.8935,72.23,0.24230000000000018,-0.08500000000000085,-0.09990622635678736,-0.20191331049958672,0.06558721307959647,1.3530511193817136
5,70,1583856000000,16.6569,16.7542,16.649,16.7542,49.04,0.10519999999999996,0.09730000000000061,-0.13108734661701704,-0.2078804412063675,0.004400268572250621,1.9862717109682373
6,69,1583841600000,17.2664,17.4234,16.3896,16.4784,393.73,1.0337999999999994,-0.7880000000000003,-0.15699435213227464,-0.22195361486741716,-0.041412889827402655,0.24877080591208367
7,68,1583827200000,16.594,17.1094,16.594,17.0846,26.03,0.5153999999999996,0.49059999999999704,-0.10866831876874927,-0.2004885627644043,0.0014771914604263525,3.3180267112607624
8,67,1583812800000,16.7017,16.9343,16.5552,16.5552,38.93,0.3791000000000011,-0.14649999999999963,-0.16202084419495755,-0.21870369146837565,-0.017553854370660482,2.2157643432405068
9,66,1583798400000,16.5842,16.9277,16.398,16.398,83.93,0.5297000000000018,-0.18619999999999948,-0.15816601553475806,-0.22496301582875255,-0.09284030935705512,1.0385545377450394
10,65,1583784000000,16.2448,16.4816,16.1989,16.4816,57.22,0.28270000000000195,0.2367999999999988,-0.15214617885509685,-0.2393435359707582,-0.09337645978073716,1.5052737627731974
11,64,1583769600000,16.0107,16.332,15.885,16.332,78.25,0.44700000000000095,0.3213000000000008,-0.16734643935068105,-0.23209659446218078,-0.15422937100599676,1.1095245254651382
12,63,1583755200000,17.0077,17.0077,15.6593,15.8537,156.11,1.3483999999999998,-1.154,-0.179669874780089,-0.25207812426286735,-0.18449303765888392,0.5459272684796166
13,62,1583740800000,17.2229,17.2229,16.6808,16.6808,95.46,0.5420999999999978,-0.5420999999999978,-0.1342070433135234,-0.1954507526612035,-0.14059465112804415,0.8649141617677871
14,61,1583726400000,16.542,17.3278,16.3591,17.1903,62.99,0.9686999999999983,0.648299999999999,-0.09647426126628056,-0.19189654199808204,-0.14716694697048627,1.274786847585518
15,60,1583712000000,17.0727,17.4597,16.9031,17.0594,37.78,0.5566000000000031,-0.013300000000000978,-0.10146530564948542,-0.18636905613583243,-0.15063555208141444,2.1001697132002617
16,59,1583697600000,17.9419,18.0347,16.851,16.851,26.34,1.1837000000000018,-1.0909000000000013,-0.09282268831560359,-0.21159748474753903,-0.20392110546828868,3.0043324847023096
17,58,1583683200000,18.2466,18.2519,17.6811,18.0762,185.64,0.5707999999999984,-0.17040000000000077,-0.0335495115939628,-0.12491891211525619,-0.1460399196882013,0.4247895990975576
18,57,1583668800000,18.9347,18.9347,18.0143,18.1791,414.29,0.9204000000000008,-0.7556000000000012,-0.003890389641700631,-0.11291172595520427,-0.1405127865690201,0.17901143416163445
19,56,1583654400000,19.3458,19.4126,19.2897,19.3102,16.94,0.12290000000000134,-0.035600000000002296,-0.010377856472963742,-0.02081569112658288,-0.08824695928080395,3.7338530453503718
20,55,1583640000000,19.5219,19.5509,19.4387,19.4403,27.93,0.11219999999999786,-0.08159999999999812,-0.003710403993296585,-0.014218562221422149,-0.0902483995357718,2.3123354604999897
=======
,index,date,open,high,low,close,volume,hl_spread,oc_spread,rolling_close,volume_feature
0,93,1584187200000,10.7603,10.7722,10.7406,10.7722,40.61,0.031599999999999184,0.011899999999998911,1.3073592482610459,11.432847603459011
1,92,1584172800000,10.6112,10.6112,10.6112,10.6112,1.3,0.0,0.0,1.3440443615624769,356.82171945701344
2,91,1584158400000,11.2066,11.2066,11.2066,11.2066,0.0,0.0,0.0,1.292228004295787,inf
3,90,1584144000000,10.8,11.2066,10.8,11.2066,226.51,0.4065999999999992,0.4065999999999992,1.3105273573031009,2.1256235927773606
4,89,1584129600000,10.6719,11.0686,10.3876,10.935,130.11,0.6809999999999992,0.26309999999999967,1.3648739880039797,3.6531486931872115
5,88,1584115200000,9.6982,10.3059,9.6523,10.3059,15.07,0.6535999999999991,0.6076999999999995,1.4724626613082277,31.340801748702127
6,87,1584100800000,11.1252,11.247,11.0784,11.0784,21.77,0.16859999999999964,-0.04679999999999929,1.393956867842457,21.796346834553752
7,86,1584086400000,10.6882,10.6882,9.9872,10.2964,31.48,0.7010000000000005,-0.3917999999999999,1.525758574670301,15.058477838403464
8,85,1584072000000,8.9842,10.4645,8.0816,10.4645,201.73,2.3828999999999994,1.4802999999999997,1.528760824411947,2.376822835414838
9,84,1584057600000,9.2878,9.954,6.2551,9.0051,1253.63,3.698900000000001,-0.2827000000000002,1.8114748048001548,0.37773763813415245
10,83,1584043200000,11.6463,11.7095,8.8871,9.2265,3541.98,2.8224,-2.4198000000000004,1.806777154041587,0.12334277637333455
11,82,1584028800000,12.2093,12.2366,11.6852,11.9397,432.98,0.5513999999999992,-0.2696000000000005,1.425576265833854,0.768984031323278
12,81,1584014400000,11.3245,12.4057,11.0365,11.8106,1352.83,1.3691999999999993,0.4861000000000004,1.4641680305129687,0.24147462552357565
13,80,1584000000000,14.5629,14.5629,9.2436,11.308,6263.85,5.3193,-3.254900000000001,1.5541056305790795,0.045874342457115025
14,79,1583985600000,15.3639,15.4833,14.4912,14.5612,258.03,0.9921000000000006,-0.8026999999999997,1.2268532732434783,0.4014866032449487
15,78,1583971200000,16.4678,16.4678,15.5302,15.6099,111.05,0.9375999999999998,-0.8579000000000008,1.1568601072547093,0.908316338692163
16,77,1583956800000,16.1486,16.5368,16.1229,16.52,204.41,0.41389999999999816,0.3714000000000013,1.1039127261073918,0.5062518525339786
17,76,1583942400000,16.2028,16.2028,15.4832,16.1486,62.58,0.7195999999999998,-0.05420000000000158,1.1379496747487123,1.5678096742052525
18,75,1583928000000,16.4909,16.5718,16.1701,16.1701,173.22,0.40169999999999817,-0.3207999999999984,1.1456191656568746,0.576443081562379
19,74,1583913600000,16.7494,16.7494,16.2806,16.4312,164.55,0.46880000000000166,-0.3182000000000009,1.135582450030501,0.5800972348830142
20,73,1583899200000,16.675,16.7811,16.5897,16.5897,85.72,0.19139999999999802,-0.08530000000000015,1.1333158880652023,1.117046608657462
21,72,1583884800000,17.0479,17.0479,16.8615,16.8675,60.68,0.186399999999999,-0.18039999999999878,1.1222833677712967,1.563345806351545
22,71,1583870400000,16.9785,17.1206,16.8783,16.8935,72.23,0.24230000000000018,-0.08500000000000085,1.1284012820802984,1.3530511193817136
23,70,1583856000000,16.6569,16.7542,16.649,16.7542,49.04,0.10519999999999996,0.09730000000000061,1.1443892558634985,1.9862717109682373
24,69,1583841600000,17.2664,17.4234,16.3896,16.4784,393.73,1.0337999999999994,-0.7880000000000003,1.1702162331579877,0.24877080591208367
25,68,1583827200000,16.594,17.1094,16.594,17.0846,26.03,0.5153999999999996,0.49059999999999704,1.1342760697456462,3.3180267112607624
26,67,1583812800000,16.7017,16.9343,16.5552,16.5552,38.93,0.3791000000000011,-0.14649999999999963,1.1752310629963783,2.2157643432405068
27,66,1583798400000,16.5842,16.9277,16.398,16.398,83.93,0.5297000000000018,-0.18619999999999948,1.1921457423071675,1.0385545377450394
28,65,1583784000000,16.2448,16.4816,16.1989,16.4816,57.22,0.28270000000000195,0.2367999999999988,1.1922478971202104,1.5052737627731974
