time,open,high,low,close,vwap,vol
1570262400,1.01361,1.01373,1.00611,1.00611,1.01006,451.75226550,10
1570276800,1.00611,1.00611,1.00580,1.00580,1.00580,68.33634385,1
1570291200,1.00580,1.00774,1.00580,1.00580,1.00616,702.41281853,7
1570305600,1.00580,1.01083,1.00580,1.01083,1.01010,1705.46861470,11
1570320000,1.01083,1.01083,1.01083,1.01083,0.00000,0.00000000,0
1570334400,1.01083,1.01083,1.00593,1.00964,1.00616,2113.33282898,8
1570348800,1.00964,1.00964,1.00410,1.00508,1.00539,4623.64165134,10
1570363200,1.00508,1.01489,1.00508,1.01489,1.01102,10172.50632467,26
1570377600,1.01489,1.01489,1.00606,1.00620,1.00919,49.71761112,3
1570392000,1.00641,1.01379,1.00620,1.01059,1.00707,2653.08590815,13
1570406400,1.01059,1.01327,1.00973,1.01327,1.01254,752.06766661,4
1570420800,1.01327,1.01327,1.00620,1.01081,1.00710,245.13679053,5
1570435200,1.00620,1.01220,1.00510,1.01029,1.00723,8157.06755675,69
1570449600,1.01029,1.01051,1.00973,1.00973,1.01019,7609.30231547,76
1570464000,1.00983,1.01019,1.00510,1.00824,1.00759,4344.84013743,34
1570478400,1.00598,1.01000,1.00598,1.01000,1.00851,2289.16171824,7
1570492800,1.01000,1.01000,1.00515,1.00739,1.00730,218.11165013,6
1570507200,1.00739,1.00929,1.00510,1.00510,1.00828,7190.40814485,35
1570521600,1.00510,1.00879,1.00510,1.00516,1.00623,5759.23442979,43
1570536000,1.00669,1.01200,1.00300,1.01009,1.00607,2275.89851461,79
1570550400,1.00935,1.01217,1.00379,1.00438,1.00638,3060.35261660,22
1570564800,1.00438,1.01151,1.00300,1.00300,1.01069,1365.98956278,15
1570579200,1.00300,1.00998,1.00300,1.00998,1.00986,77.23300000,3
1570593600,1.00998,1.01163,1.00647,1.00770,1.01053,719.28137517,13
1570608000,1.01143,1.01587,1.00100,1.00647,1.01244,44500.55014845,194
1570622400,1.00594,1.00831,1.00156,1.00372,1.00517,25080.28565738,89
1570636800,1.00717,1.00717,1.00459,1.00523,1.00614,771.13571685,14
1570651200,1.00523,1.00790,1.00378,1.00790,1.00566,1378.33055144,15
1570665600,1.00531,1.00742,1.00492,1.00742,1.00518,1675.64860725,6
1570680000,1.00742,1.00790,1.00445,1.00790,1.00739,5774.88598844,11
1570694400,1.00899,1.01000,1.00746,1.01000,1.00880,1235.77139250,25
1570708800,1.00797,1.00982,1.00651,1.00862,1.00740,4259.30019541,46
1570723200,1.00862,1.01051,1.00862,1.01051,1.01003,3304.19099873,15
1570737600,1.00674,1.01009,1.00606,1.00850,1.00669,4222.72195744,29
1570752000,1.00850,1.00850,1.00647,1.00647,1.00675,149.73693316,3
1570766400,1.00808,1.00860,1.00543,1.00840,1.00770,2776.04528065,46
1570780800,1.00653,1.00899,1.00554,1.00899,1.00778,6234.31177610,46
1570795200,1.00979,1.01200,1.00916,1.01163,1.00994,3146.54680670,58
1570809600,1.01163,1.01163,1.00395,1.00899,1.00783,5999.91850222,116
1570824000,1.00896,1.01533,1.00484,1.00484,1.01189,18678.33959179,97
1570838400,1.00484,1.01194,1.00455,1.00469,1.00735,2737.25191826,35
1570852800,1.00469,1.00731,1.00469,1.00616,1.00577,1279.05870208,22
1570867200,1.00616,1.00871,1.00400,1.00499,1.00657,856.90337468,21
1570881600,1.00499,1.00868,1.00430,1.00868,1.00611,3801.69593812,28
1570896000,1.00868,1.00868,1.00341,1.00341,1.00641,1107.84645902,12
1570910400,1.00341,1.01141,1.00301,1.00665,1.00658,2710.70749497,35
1570924800,1.00633,1.00750,1.00633,1.00750,1.00691,176.92261975,4
1570939200,1.00624,1.00708,1.00517,1.00640,1.00544,5217.29618628,11
1570953600,1.00527,1.01077,1.00512,1.00514,1.00912,6986.61749219,29
1570968000,1.00469,1.00903,1.00469,1.00556,1.00731,12774.15019523,44
1570982400,1.00819,1.00881,1.00446,1.00571,1.00496,15636.22190644,30
1570996800,1.00390,1.00855,1.00100,1.00534,1.00409,1048.35751328,15
1571011200,1.00534,1.00544,1.00213,1.00544,1.00320,551.14089574,9
1571025600,1.00544,1.00870,1.00544,1.00870,1.00766,188.06835163,4
1571040000,1.00870,1.00871,1.00500,1.00678,1.00588,4014.61746629,19
1571054400,1.00678,1.00871,1.00546,1.00871,1.00695,291.68403760,12
1571068800,1.00670,1.01162,1.00572,1.00629,1.00811,824.61771033,19
1571083200,1.00629,1.00664,1.00401,1.00664,1.00433,5615.81357604,12
1571097600,1.00497,1.00750,1.00100,1.00613,1.00173,113705.15442099,277
1571112000,1.00613,1.00743,1.00396,1.00396,1.00664,4106.52612954,33
1571126400,1.00396,1.00802,1.00367,1.00367,1.00736,8808.03568869,26
1571140800,1.00367,1.00918,1.00367,1.00798,1.00737,11731.93146360,17
1571155200,1.00647,1.00965,1.00314,1.00965,1.00556,11857.06698869,42
1571169600,1.00867,1.00929,1.00443,1.00443,1.00597,7261.53810408,36
1571184000,1.00443,1.00865,1.00443,1.00794,1.00757,700.90385640,13
1571198400,1.00794,1.00894,1.00794,1.00894,1.00894,228.48244266,1
1571212800,1.00894,1.00915,1.00539,1.00580,1.00749,1524.53779852,15
1571227200,1.00580,1.01099,1.00580,1.00945,1.00993,4366.36023316,23
1571241600,1.00750,1.00985,1.00510,1.00936,1.00564,19263.14032714,76
1571256000,1.00762,1.01071,1.00400,1.00648,1.00629,35499.90918936,143
1571270400,1.00648,1.00885,1.00566,1.00566,1.00638,12275.78757789,70
1571284800,1.00566,1.00869,1.00558,1.00687,1.00677,4753.97575270,53
