,QTUMUSD,last
0,"[1561190400, '3.65000', '3.67060', '3.63573', '3.64600', '3.65220', '3606.63273099', 31]",1571529600
1,"[1561204800, '3.64600', '4.16858', '3.53462', '3.86000', '3.84624', '19458.02602874', 397]",1571529600
2,"[1561219200, '3.86000', '4.01593', '3.83578', '3.89000', '3.90113', '3766.06493011', 88]",1571529600
3,"[1561233600, '3.90650', '3.95596', '3.82513', '3.93827', '3.87364', '6350.32339800', 100]",1571529600
4,"[1561248000, '3.89599', '4.08098', '3.89599', '3.98295', '3.96389', '15697.15650700', 230]",1571529600
5,"[1561262400, '3.98295', '3.99999', '3.92785', '3.93754', '3.98151', '237.57843967', 13]",1571529600
6,"[1561276800, '3.93754', '3.95699', '3.65011', '3.91264', '3.75174', '773.63785415', 53]",1571529600
7,"[1561291200, '3.91264', '3.98969', '3.85006', '3.90042', '3.91349', '1665.90033426', 26]",1571529600
8,"[1561305600, '3.86191', '3.91730', '3.86191', '3.90304', '3.90043', '1118.88227085', 10]",1571529600
9,"[1561320000, '3.94000', '3.99728', '3.82033', '3.82341', '3.93939', '1382.03616675', 39]",1571529600
10,"[1561334400, '3.82723', '3.82723', '3.74000', '3.78400', '3.77875', '2212.55233558', 46]",1571529600
11,"[1561348800, '3.78400', '3.86724', '3.78400', '3.83533', '3.84074', '876.59681155', 63]",1571529600
12,"[1561363200, '3.88880', '4.03998', '3.87000', '3.93136', '3.92246', '8593.27051246', 123]",1571529600
13,"[1561377600, '3.93136', '3.95181', '3.91201', '3.91201', '3.92971', '418.19715603', 11]",1571529600
14,"[1561392000, '3.94460', '4.29189', '3.94085', '4.21799', '4.09911', '20908.71372944', 325]",1571529600
15,"[1561406400, '4.20000', '4.25878', '4.11807', '4.18152', '4.18441', '17509.45166907', 493]",1571529600
16,"[1561420800, '4.18423', '4.44994', '4.18423', '4.25823', '4.27873', '9498.55174203', 409]",1571529600
17,"[1561435200, '4.27683', '4.31900', '4.17820', '4.25719', '4.24775', '5161.16779702', 257]",1571529600
18,"[1561449600, '4.31937', '4.45000', '4.25880', '4.37568', '4.37951', '6636.28416515', 330]",1571529600
