,EOSUSD,last
0,"[1561190400, '7.2200', '7.2908', '7.2164', '7.2470', '7.2586', '21362.38627268', 163]",1571529600
1,"[1561204800, '7.2470', '7.4569', '7.0273', '7.2658', '7.2739', '134599.65568014', 708]",1571529600
2,"[1561219200, '7.2825', '7.5889', '7.2825', '7.4779', '7.4657', '92540.54552170', 559]",1571529600
3,"[1561233600, '7.4814', '7.4988', '7.2668', '7.4342', '7.3789', '75222.59787155', 274]",1571529600
4,"[1561248000, '7.4342', '7.5750', '7.4300', '7.5007', '7.4859', '48114.31204858', 345]",1571529600
5,"[1561262400, '7.5020', '7.5020', '7.3740', '7.3942', '7.4529', '11317.06937394', 163]",1571529600
6,"[1561276800, '7.4027', '7.4275', '7.2120', '7.3099', '7.2877', '26816.02312286', 309]",1571529600
7,"[1561291200, '7.2959', '7.3428', '7.2585', '7.3304', '7.3130', '37859.59112714', 223]",1571529600
8,"[1561305600, '7.3406', '7.3830', '7.2634', '7.3807', '7.3040', '20584.70162986', 104]",1571529600
9,"[1561320000, '7.3812', '7.4695', '7.1301', '7.2185', '7.3128', '61888.50577869', 433]",1571529600
10,"[1561334400, '7.1876', '7.1876', '6.9710', '7.0986', '7.0825', '39729.28950227', 344]",1571529600
11,"[1561348800, '7.0986', '7.1800', '7.0504', '7.1349', '7.1443', '21532.86620971', 116]",1571529600
12,"[1561363200, '7.1349', '7.2178', '7.0900', '7.1679', '7.1573', '9339.25355999', 101]",1571529600
13,"[1561377600, '7.1746', '7.2001', '7.1040', '7.1565', '7.1502', '9066.06779845', 94]",1571529600
14,"[1561392000, '7.1503', '7.2241', '7.0313', '7.0847', '7.1483', '75394.51833321', 346]",1571529600
15,"[1561406400, '7.0939', '7.2215', '7.0561', '7.2215', '7.1440', '11608.22229391', 128]",1571529600
16,"[1561420800, '7.2300', '7.2900', '7.1820', '7.2208', '7.2442', '13519.00833242', 205]",1571529600
17,"[1561435200, '7.2187', '7.2546', '7.1282', '7.2051', '7.1980', '78824.21499201', 341]",1571529600
18,"[1561449600, '7.2124', '7.2124', '7.1239', '7.1257', '7.1681', '15169.29421183', 182]",1571529600
19,"[1561464000, '7.1462', '7.1462', '6.9250', '7.0700', '7.0691', '74693.96842055', 410]",1571529600
20,"[1561478400, '7.0647', '7.0667', '6.9335', '6.9961', '6.9913', '30766.06535195', 275]",1571529600
21,"[1561492800, '6.9806', '7.1899', '6.9804', '7.1344', '7.1015', '25866.72506822', 213]",1571529600
22,"[1561507200, '7.1276', '7.3172', '6.9500', '7.2946', '7.2004', '180685.53076391', 987]",1571529600
23,"[1561521600, '7.2943', '7.2943', '6.9863', '7.1117', '7.1293', '274607.19470081', 1015]",1571529600
24,"[1561536000, '7.1215', '7.3542', '7.1171', '7.3542', '7.2584', '97702.58854593', 703]",1571529600
25,"[1561550400, '7.3420', '7.3881', '7.2651', '7.3689', '7.3332', '41494.03869113', 427]",1571529600
26,"[1561564800, '7.3840', '7.3862', '7.2467', '7.2861', '7.3132', '98596.69572000', 733]",1571529600
27,"[1561579200, '7.2933', '7.3624', '5.5656', '6.7228', '6.5066', '482441.50229515', 2710]",1571529600
28,"[1561593600, '6.7148', '6.7718', '6.5076', '6.6751', '6.6472', '91509.25378989', 674]",1571529600
29,"[1561608000, '6.6699', '6.6789', '6.3111', '6.4271', '6.4673', '103474.47307207', 839]",1571529600
30,"[1561622400, '6.4389', '6.4389', '6.0922', '6.3595', '6.2561', '178738.09052702', 1124]",1571529600
