,XXRPZUSD,last
0,"[1561190400, '0.45578', '0.45925', '0.45296', '0.45731', '0.45668', '1490927.32501477', 850]",1571529600
1,"[1561204800, '0.45743', '0.50861', '0.45083', '0.47884', '0.47922', '17018003.21178239', 6229]",1571529600
2,"[1561219200, '0.47831', '0.49407', '0.46600', '0.47742', '0.48067', '5518633.67755696', 2364]",1571529600
3,"[1561233600, '0.47740', '0.47793', '0.46090', '0.47403', '0.46751', '6489060.14939055', 2037]",1571529600
4,"[1561248000, '0.47330', '0.48832', '0.47329', '0.48110', '0.47994', '3207504.69899086', 1380]",1571529600
5,"[1561262400, '0.48197', '0.48197', '0.47400', '0.47614', '0.47782', '1627211.12394817', 832]",1571529600
6,"[1561276800, '0.47614', '0.47713', '0.46600', '0.47040', '0.47014', '2593219.78327696', 728]",1571529600
7,"[1561291200, '0.47000', '0.47492', '0.46805', '0.47127', '0.47109', '1452389.08463571', 833]",1571529600
8,"[1561305600, '0.47123', '0.48000', '0.47121', '0.47567', '0.47660', '2315696.68622307', 1056]",1571529600
9,"[1561320000, '0.47572', '0.48430', '0.45939', '0.46612', '0.47378', '6053712.52652358', 2313]",1571529600
10,"[1561334400, '0.46601', '0.46613', '0.44550', '0.45489', '0.45242', '4718090.37597626', 1869]",1571529600
11,"[1561348800, '0.45500', '0.46200', '0.45201', '0.46025', '0.45878', '1236768.62669804', 616]",1571529600
12,"[1561363200, '0.46025', '0.46675', '0.46000', '0.46431', '0.46283', '1386334.82802438', 547]",1571529600
13,"[1561377600, '0.46509', '0.46582', '0.45925', '0.46164', '0.46236', '1484002.54906889', 658]",1571529600
14,"[1561392000, '0.46199', '0.46595', '0.45723', '0.45951', '0.46155', '5923473.72354003', 1752]",1571529600
15,"[1561406400, '0.45984', '0.47426', '0.45787', '0.47236', '0.46499', '2036364.82864584', 925]",1571529600
16,"[1561420800, '0.47213', '0.47510', '0.46500', '0.46699', '0.47040', '2677669.41443804', 976]",1571529600
17,"[1561435200, '0.46658', '0.47163', '0.46585', '0.46941', '0.46926', '2331492.96115182', 824]",1571529600
