,ADAUSD,last
0,"[1561190400, '0.091171', '0.091605', '0.089490', '0.090051', '0.090554', '1286720.50918895', 202]",1571529600
1,"[1561204800, '0.090282', '0.097370', '0.089544', '0.093279', '0.094119', '9219996.85896685', 1144]",1571529600
2,"[1561219200, '0.093387', '0.096809', '0.093041', '0.095360', '0.094969', '1475612.79593738', 362]",1571529600
3,"[1561233600, '0.095466', '0.095659', '0.092752', '0.093867', '0.094170', '660490.59823720', 214]",1571529600
4,"[1561248000, '0.093934', '0.096012', '0.090000', '0.096012', '0.094903', '2242507.28104689', 425]",1571529600
5,"[1561262400, '0.095983', '0.099299', '0.095768', '0.096775', '0.097411', '4402504.61489182', 808]",1571529600
6,"[1561276800, '0.096775', '0.097493', '0.094249', '0.096211', '0.096013', '1310170.59403144', 193]",1571529600
7,"[1561291200, '0.096864', '0.100660', '0.095170', '0.100002', '0.098175', '1855019.15081010', 357]",1571529600
8,"[1561305600, '0.100009', '0.102430', '0.096174', '0.097457', '0.099508', '4249449.27358245', 642]",1571529600
9,"[1561320000, '0.097516', '0.098617', '0.095233', '0.096167', '0.096868', '2185159.30401909', 425]",1571529600
10,"[1561334400, '0.095900', '0.096213', '0.093443', '0.094116', '0.094460', '1234855.90341125', 299]",1571529600
11,"[1561348800, '0.094049', '0.095483', '0.093571', '0.095483', '0.094867', '360987.39702827', 91]",1571529600
12,"[1561363200, '0.095483', '0.097956', '0.095483', '0.096945', '0.096687', '1818682.56369250', 266]",1571529600
13,"[1561377600, '0.096945', '0.098752', '0.095964', '0.096439', '0.096880', '2010571.35872529', 196]",1571529600
14,"[1561392000, '0.096927', '0.097308', '0.095660', '0.095700', '0.096359', '902510.29062726', 189]",1571529600
15,"[1561406400, '0.095765', '0.097897', '0.095297', '0.097800', '0.096209', '779703.02799801', 98]",1571529600
16,"[1561420800, '0.097551', '0.098276', '0.096418', '0.097607', '0.096880', '547628.24074970', 89]",1571529600
17,"[1561435200, '0.097649', '0.097723', '0.095935', '0.096334', '0.096738', '465655.42090814', 128]",1571529600
18,"[1561449600, '0.096334', '0.096923', '0.095295', '0.095365', '0.096079', '695624.26639274', 168]",1571529600
19,"[1561464000, '0.095365', '0.096000', '0.093336', '0.095323', '0.095349', '5208757.77854603', 470]",1571529600
20,"[1561478400, '0.095378', '0.096011', '0.093974', '0.094758', '0.095299', '2031680.55220828', 322]",1571529600
21,"[1561492800, '0.094758', '0.095983', '0.094208', '0.095960', '0.094821', '755790.74805210', 151]",1571529600
22,"[1561507200, '0.095992', '0.102000', '0.095769', '0.101481', '0.097947', '3619312.18977492', 549]",1571529600
23,"[1561521600, '0.101286', '0.101427', '0.096150', '0.097134', '0.097672', '4539477.15823323', 594]",1571529600
24,"[1561536000, '0.097219', '0.101000', '0.097042', '0.100529', '0.098651', '746199.87211613', 225]",1571529600
25,"[1561550400, '0.100529', '0.106490', '0.099590', '0.106000', '0.102865', '6909096.13017478', 945]",1571529600
26,"[1561564800, '0.105879', '0.105886', '0.100447', '0.100971', '0.102830', '6513692.85975769', 1069]",1571529600
27,"[1561579200, '0.101816', '0.103189', '0.088000', '0.096416', '0.096955', '10667885.07995714', 1519]",1571529600
28,"[1561593600, '0.096747', '0.098274', '0.093720', '0.097137', '0.096283', '3138247.08436431', 535]",1571529600
29,"[1561608000, '0.097162', '0.097401', '0.091189', '0.092118', '0.092815', '1638207.68187889', 434]",1571529600
30,"[1561622400, '0.092118', '0.092265', '0.086500', '0.090287', '0.088643', '6027346.17604225', 1139]",1571529600
31,"[1561636800, '0.090287', '0.090345', '0.086568', '0.088774', '0.088013', '2168002.32728821', 475]",1571529600
32,"[1561651200, '0.088878', '0.088992', '0.082370', '0.084733', '0.084243', '14353090.39979099', 1259]",1571529600
33,"[1561665600, '0.084733', '0.086505', '0.082897', '0.084912', '0.084123', '4457023.76334711', 427]",1571529600
34,"[1561680000, '0.084908', '0.086724', '0.083696', '0.084668', '0.085301', '3581138.25443742', 325]",1571529600
35,"[1561694400, '0.084872', '0.086918', '0.083322', '0.085227', '0.084803', '2592983.95207518', 267]",1571529600
36,"[1561708800, '0.085176', '0.087339', '0.084554', '0.085117', '0.085919', '3313333.67735210', 392]",1571529600
37,"[1561723200, '0.085199', '0.087029', '0.084655', '0.086847', '0.085374', '1745472.69791291', 266]",1571529600
38,"[1561737600, '0.086824', '0.089436', '0.086080', '0.088109', '0.087746', '2838047.50781109', 269]",1571529600
39,"[1561752000, '0.088200', '0.088991', '0.087093', '0.088550', '0.088229', '2601186.51561314', 272]",1571529600
40,"[1561766400, '0.088336', '0.089398', '0.084438', '0.084614', '0.086194', '2843136.56727268', 358]",1571529600
41,"[1561780800, '0.084533', '0.085719', '0.083500', '0.085719', '0.084773', '995806.51069132', 154]",1571529600
42,"[1561795200, '0.085719', '0.087763', '0.084862', '0.087763', '0.085865', '3641813.41215689', 352]",1571529600
43,"[1561809600, '0.087564', '0.088000', '0.086185', '0.087603', '0.087128', '1177086.61066842', 208]",1571529600
44,"[1561824000, '0.088003', '0.089557', '0.086841', '0.089538', '0.088173', '1142105.61651869', 194]",1571529600
45,"[1561838400, '0.089538', '0.090344', '0.088320', '0.089530', '0.089512', '1105131.79872244', 169]",1571529600
46,"[1561852800, '0.089795', '0.090401', '0.089203', '0.089258', '0.089986', '2143050.59727869', 147]",1571529600
47,"[1561867200, '0.089658', '0.090098', '0.086411', '0.086411', '0.088523', '1037538.58843359', 156]",1571529600
48,"[1561881600, '0.086774', '0.088129', '0.085109', '0.085912', '0.086615', '1341919.11322148', 200]",1571529600
49,"[1561896000, '0.085514', '0.086978', '0.082001', '0.084098', '0.084581', '3229239.31460485', 451]",1571529600
50,"[1561910400, '0.083610', '0.085275', '0.082319', '0.085275', '0.084648', '1696901.44527950', 272]",1571529600
51,"[1561924800, '0.085139', '0.085150', '0.080999', '0.082022', '0.083062', '1810678.42860681', 279]",1571529600
52,"[1561939200, '0.082022', '0.085400', '0.081271', '0.085000', '0.083496', '762436.39588380', 116]",1571529600
53,"[1561953600, '0.085000', '0.085000', '0.083174', '0.083497', '0.084005', '914442.60509410', 94]",1571529600
54,"[1561968000, '0.084068', '0.084500', '0.082855', '0.083019', '0.083701', '726855.28439354', 81]",1571529600
55,"[1561982400, '0.083019', '0.083559', '0.079500', '0.081198', '0.081406', '3753674.39228000', 485]",1571529600
56,"[1561996800, '0.081334', '0.081802', '0.080429', '0.081138', '0.081445', '1284667.76501917', 162]",1571529600
