,XETHZUSD,last
0,"[1561190400, '306.75', '310.00', '305.23', '306.66', '308.11', '10127.98038416', 1828]",1571529600
1,"[1561204800, '306.66', '314.56', '301.03', '306.86', '307.80', '27089.67375977', 4792]",1571529600
2,"[1561219200, '306.99', '310.59', '301.50', '305.84', '307.48', '15745.67006995', 2679]",1571529600
3,"[1561233600, '305.83', '309.60', '298.01', '308.54', '303.69', '16245.69438608', 3288]",1571529600
4,"[1561248000, '308.37', '316.00', '308.36', '313.18', '312.35', '16037.69964162', 3429]",1571529600
5,"[1561262400, '313.21', '314.99', '309.17', '310.38', '312.30', '9009.97078042', 1515]",1571529600
6,"[1561276800, '310.38', '311.96', '304.10', '308.02', '307.19', '5449.92879461', 1069]",1571529600
7,"[1561291200, '308.00', '311.36', '306.25', '311.36', '309.28', '5104.70582042', 1222]",1571529600
8,"[1561305600, '311.30', '314.18', '308.88', '312.68', '311.78', '8192.78241119', 2551]",1571529600
9,"[1561320000, '312.68', '318.20', '301.00', '305.99', '311.73', '28854.66397932', 5098]",1571529600
10,"[1561334400, '305.97', '305.97', '295.00', '301.61', '301.17', '22525.24396191', 3501]",1571529600
11,"[1561348800, '301.67', '307.00', '300.45', '305.92', '304.84', '4993.50701403', 1026]",1571529600
12,"[1561363200, '305.91', '308.99', '305.59', '307.07', '307.45', '8419.52887256', 2074]",1571529600
13,"[1561377600, '307.15', '310.00', '305.62', '307.69', '308.52', '7653.49060833', 1896]",1571529600
14,"[1561392000, '307.69', '313.00', '305.80', '307.56', '309.29', '11902.37820106', 2557]",1571529600
15,"[1561406400, '307.70', '313.09', '305.06', '310.44', '309.95', '7418.89830600', 1183]",1571529600
16,"[1561420800, '310.75', '312.40', '309.05', '310.00', '310.96', '9623.05456400', 1461]",1571529600
17,"[1561435200, '310.00', '314.70', '309.68', '313.00', '312.78', '11866.27794585', 1689]",1571529600
18,"[1561449600, '313.00', '314.74', '311.10', '311.96', '313.07', '6294.71352969', 1108]",1571529600
19,"[1561464000, '311.86', '312.50', '305.48', '310.85', '308.92', '12349.71966967', 2543]",1571529600
20,"[1561478400, '310.80', '312.41', '307.00', '309.17', '309.60', '8224.38089335', 1266]",1571529600
21,"[1561492800, '309.63', '317.80', '308.45', '316.88', '313.76', '23992.50422475', 2714]",1571529600
22,"[1561507200, '316.84', '334.50', '314.45', '331.09', '325.02', '25633.10592755', 5204]",1571529600
23,"[1561521600, '331.18', '337.00', '325.66', '328.20', '331.19', '27708.78534916', 4988]",1571529600
24,"[1561536000, '328.19', '339.09', '328.19', '338.86', '333.14', '16125.24093030', 2452]",1571529600
25,"[1561550400, '339.06', '349.11', '338.46', '345.41', '344.37', '34878.82094197', 5310]",1571529600
26,"[1561564800, '345.41', '356.43', '342.31', '351.16', '350.80', '42733.67587231', 7840]",1571529600
27,"[1561579200, '351.09', '363.29', '315.77', '334.51', '333.46', '76116.12847320', 14656]",1571529600
28,"[1561593600, '334.48', '343.25', '326.01', '334.51', '333.91', '27208.93485082', 4026]",1571529600
29,"[1561608000, '334.51', '337.31', '317.11', '321.98', '325.94', '24375.47146288', 3990]",1571529600
30,"[1561622400, '322.44', '322.44', '298.80', '312.50', '308.91', '46841.18690843', 7098]",1571529600
31,"[1561636800, '312.50', '313.82', '297.77', '307.01', '305.18', '32444.29479463', 4142]",1571529600
32,"[1561651200, '306.98', '310.00', '280.02', '287.82', '290.58', '62019.37961779', 9650]",1571529600
33,"[1561665600, '287.67', '299.56', '274.34', '293.68', '287.83', '41025.61175583', 5419]",1571529600
34,"[1561680000, '293.55', '302.00', '289.88', '294.25', '295.33', '16245.94013737', 2530]",1571529600
35,"[1561694400, '294.26', '302.68', '290.79', '296.63', '296.49', '10877.59044645', 1684]",1571529600
36,"[1561708800, '296.78', '309.11', '296.24', '307.09', '304.47', '17242.98496561', 2468]",1571529600
37,"[1561723200, '307.67', '307.82', '298.71', '304.58', '303.70', '15730.10113053', 2475]",1571529600
38,"[1561737600, '304.87', '312.74', '302.62', '310.29', '308.12', '14572.43492650', 1953]",1571529600
39,"[1561752000, '310.33', '311.37', '303.81', '309.79', '307.43', '10310.90608502', 1760]",1571529600
40,"[1561766400, '309.79', '309.79', '294.19', '294.20', '300.98', '28963.05380627', 3302]",1571529600
41,"[1561780800, '294.20', '301.46', '291.00', '299.99', '296.17', '16005.44651648', 2243]",1571529600
42,"[1561795200, '299.99', '307.16', '295.58', '306.99', '302.16', '10620.51451366', 1857]",1571529600
43,"[1561809600, '306.99', '308.67', '303.69', '305.13', '306.44', '14161.31292260', 2511]",1571529600
44,"[1561824000, '305.16', '313.66', '300.13', '309.47', '306.67', '18031.87558462', 2656]",1571529600
45,"[1561838400, '309.11', '323.96', '309.00', '317.00', '315.64', '17210.36843663', 2798]",1571529600
46,"[1561852800, '317.01', '323.23', '316.81', '318.17', '320.56', '11308.27233020', 1762]",1571529600
47,"[1561867200, '318.17', '319.00', '306.45', '307.25', '312.33', '11560.11975155', 1715]",1571529600
48,"[1561881600, '307.42', '310.75', '299.88', '301.45', '304.27', '8985.00760310', 1716]",1571529600
49,"[1561896000, '301.30', '303.97', '288.26', '295.53', '295.83', '22635.94233201', 3362]",1571529600
50,"[1561910400, '295.63', '303.00', '290.08', '301.45', '298.51', '12253.48850596', 1792]",1571529600
51,"[1561924800, '301.81', '304.49', '286.00', '289.50', '293.75', '17361.72172413', 2462]",1571529600
52,"[1561939200, '289.88', '301.76', '286.00', '298.01', '293.93', '15373.49462827', 2102]",1571529600
53,"[1561953600, '298.19', '299.56', '290.79', '293.09', '294.66', '7212.96177778', 1146]",1571529600
54,"[1561968000, '293.01', '298.20', '292.19', '294.09', '294.81', '6915.26967454', 1087]",1571529600
55,"[1561982400, '294.54', '295.14', '279.00', '284.38', '284.96', '35561.50828916', 4296]",1571529600
56,"[1561996800, '284.38', '287.00', '278.85', '281.79', '282.75', '12871.38309948', 2240]",1571529600
57,"[1562011200, '281.78', '295.50', '281.78', '293.51', '290.28', '21391.84359850', 2783]",1571529600
58,"[1562025600, '293.55', '295.99', '285.07', '287.92', '289.97', '10621.09545885', 1798]",1571529600
59,"[1562040000, '288.00', '289.00', '271.60', '276.96', '277.53', '33632.88851606', 3490]",1571529600
60,"[1562054400, '276.36', '284.89', '271.70', '275.47', '278.63', '14761.51247536', 2339]",1571529600
61,"[1562068800, '275.41', '289.49', '274.79', '289.10', '282.80', '22352.59211260', 3038]",1571529600
62,"[1562083200, '289.15', '290.86', '283.20', '288.38', '288.22', '10885.32642311', 1756]",1571529600
