,DASHUSD,last
21,"[1561492800, '174.350', '178.999', '174.003', '177.210', '176.174', '696.00205134', 291]",1571529600
22,"[1561507200, '177.327', '179.900', '175.631', '179.203', '178.159', '289.73422921', 118]",1571529600
23,"[1561521600, '179.899', '183.114', '175.594', '175.938', '178.918', '1445.55265363', 406]",1571529600
24,"[1561536000, '174.848', '177.625', '174.101', '177.273', '175.535', '163.72525719', 51]",1571529600
25,"[1561550400, '177.707', '183.126', '176.783', '183.126', '180.686', '359.60551051', 170]",1571529600
26,"[1561564800, '183.126', '187.264', '181.924', '184.295', '184.415', '1208.79029826', 449]",1571529600
27,"[1561579200, '183.661', '187.650', '161.000', '173.745', '175.298', '1689.26290668', 621]",1571529600
28,"[1561593600, '172.656', '175.000', '166.405', '170.755', '171.610', '543.33548484', 239]",1571529600
29,"[1561608000, '170.755', '171.982', '163.588', '167.641', '167.646', '285.39106141', 191]",1571529600
30,"[1561622400, '167.641', '167.778', '153.432', '166.153', '161.054', '1289.26715838', 435]",1571529600
31,"[1561636800, '166.254', '168.268', '160.361', '162.220', '163.544', '350.94569562', 181]",1571529600
32,"[1561651200, '163.400', '163.400', '145.923', '151.910', '150.750', '1092.06146800', 427]",1571529600
33,"[1561665600, '153.717', '156.405', '150.367', '155.099', '152.661', '1020.58746809', 371]",1571529600
34,"[1561680000, '155.129', '159.016', '151.731', '155.958', '156.116', '425.38966051', 198]",1571529600
35,"[1561694400, '155.955', '157.686', '152.659', '155.212', '154.845', '123.40939012', 83]",1571529600
36,"[1561708800, '155.212', '163.716', '155.212', '163.513', '160.596', '401.75342851', 117]",1571529600
37,"[1561723200, '162.800', '166.002', '160.752', '166.001', '163.785', '507.89356988', 155]",1571529600
38,"[1561737600, '166.156', '170.714', '164.743', '169.878', '168.095', '360.98892698', 124]",1571529600
39,"[1561752000, '170.200', '171.115', '167.158', '169.686', '168.195', '155.67896842', 60]",1571529600
40,"[1561766400, '169.686', '170.227', '162.174', '163.939', '164.834', '206.59756094', 127]",1571529600
41,"[1561780800, '162.990', '166.679', '162.642', '165.841', '165.142', '61.63788643', 67]",1571529600
42,"[1561795200, '165.841', '167.343', '161.920', '167.343', '164.740', '107.28988883', 66]",1571529600
43,"[1561809600, '167.660', '168.971', '166.000', '166.075', '166.870', '100.81195970', 66]",1571529600
44,"[1561824000, '167.096', '169.000', '163.753', '166.460', '167.322', '119.74914617', 62]",1571529600
45,"[1561838400, '168.045', '170.000', '167.554', '169.467', '169.060', '96.36273827', 71]",1571529600
46,"[1561852800, '169.467', '171.300', '169.467', '170.984', '170.313', '86.47778904', 26]",1571529600
47,"[1561867200, '170.697', '171.296', '165.000', '165.976', '166.530', '118.67890281', 65]",1571529600
48,"[1561881600, '165.547', '166.670', '163.280', '163.851', '165.050', '110.44247895', 114]",1571529600
49,"[1561896000, '163.851', '164.546', '156.010', '157.399', '159.891', '194.96828855', 97]",1571529600
50,"[1561910400, '157.248', '162.402', '153.375', '162.402', '158.124', '199.02534690', 93]",1571529600
51,"[1561924800, '162.419', '163.126', '155.766', '155.767', '160.179', '194.65270564', 99]",1571529600
52,"[1561939200, '155.260', '160.900', '154.552', '160.181', '158.965', '206.69347271', 101]",1571529600
53,"[1561953600, '158.788', '158.788', '154.247', '155.648', '156.194', '68.80248309', 71]",1571529600
54,"[1561968000, '155.834', '158.396', '155.552', '158.396', '156.612', '199.35816667', 69]",1571529600
55,"[1561982400, '159.188', '159.188', '145.950', '149.785', '151.485', '795.15664967', 259]",1571529600
56,"[1561996800, '151.143', '152.100', '147.373', '148.891', '150.061', '215.72974915', 73]",1571529600
57,"[1562011200, '149.185', '154.470', '149.185', '154.470', '152.223', '259.64941413', 76]",1571529600
58,"[1562025600, '153.491', '154.051', '150.568', '150.995', '152.341', '80.82531888', 57]",1571529600
59,"[1562040000, '151.833', '151.833', '146.030', '147.715', '147.949', '312.75634426', 101]",1571529600
60,"[1562054400, '147.800', '150.750', '144.703', '147.189', '148.643', '664.45103418', 171]",1571529600
61,"[1562068800, '147.188', '153.779', '147.188', '153.342', '151.294', '579.02821122', 151]",1571529600
62,"[1562083200, '152.896', '154.097', '151.429', '152.450', '152.855', '286.22594600', 47]",1571529600
63,"[1562097600, '152.392', '153.633', '151.451', '152.023', '152.831', '26.29047351', 12]",1571529600
64,"[1562112000, '152.419', '156.661', '152.419', '154.828', '154.289', '209.50944068', 109]",1571529600
65,"[1562126400, '155.513', '157.834', '154.219', '157.434', '156.268', '157.37303435', 42]",1571529600
66,"[1562140800, '156.402', '156.427', '153.463', '156.427', '154.966', '34.44067847', 19]",1571529600
67,"[1562155200, '154.856', '157.449', '154.643', '155.983', '156.053', '567.07061038', 77]",1571529600
68,"[1562169600, '155.001', '157.259', '153.008', '156.431', '154.830', '139.03917940', 36]",1571529600
69,"[1562184000, '155.766', '158.374', '154.447', '157.694', '156.562', '393.50478117', 131]",1571529600
70,"[1562198400, '158.322', '160.569', '157.630', '158.537', '159.147', '342.84275874', 139]",1571529600
71,"[1562212800, '158.537', '158.593', '157.493', '158.034', '157.505', '74.26081051', 12]",1571529600
72,"[1562227200, '158.108', '159.399', '157.237', '158.763', '158.351', '35.30630032', 41]",1571529600
73,"[1562241600, '160.022', '160.628', '159.001', '160.318', '160.024', '169.21643438', 65]",1571529600
74,"[1562256000, '160.318', '162.503', '160.173', '162.503', '161.291', '60.27170172', 44]",1571529600
75,"[1562270400, '162.503', '162.503', '153.146', '153.942', '156.820', '186.05070038', 97]",1571529600
76,"[1562284800, '154.448', '154.963', '153.476', '153.918', '154.345', '107.07340404', 74]",1571529600
77,"[1562299200, '153.332', '154.637', '150.821', '152.163', '152.517', '206.22987604', 119]",1571529600
78,"[1562313600, '152.100', '155.731', '151.733', '154.701', '153.415', '163.07715106', 69]",1571529600
79,"[1562328000, '154.701', '155.070', '153.100', '153.977', '154.253', '15.61965431', 17]",1571529600
80,"[1562342400, '153.729', '155.937', '152.998', '154.284', '154.474', '39.46073824', 61]",1571529600
81,"[1562356800, '154.288', '154.367', '151.845', '154.199', '153.358', '494.73166699', 164]",1571529600
82,"[1562371200, '154.721', '157.321', '154.721', '156.926', '155.440', '68.58673251', 36]",1571529600
83,"[1562385600, '157.574', '158.404', '156.243', '156.521', '157.354', '145.36946235', 129]",1571529600
84,"[1562400000, '156.521', '156.521', '155.337', '155.450', '155.417', '20.64174115', 7]",1571529600
85,"[1562414400, '155.840', '158.299', '155.189', '158.283', '156.734', '64.69094819', 62]",1571529600
86,"[1562428800, '157.375', '158.297', '156.090', '156.492', '157.309', '29.97412450', 24]",1571529600
87,"[1562443200, '156.670', '157.238', '153.328', '154.106', '154.405', '57.06878608', 53]",1571529600
88,"[1562457600, '153.751', '154.897', '153.751', '154.670', '154.366', '29.44290422', 14]",1571529600
89,"[1562472000, '155.253', '155.637', '154.201', '154.505', '154.594', '19.85335299', 69]",1571529600
90,"[1562486400, '154.505', '156.268', '154.505', '156.006', '155.629', '78.12387947', 44]",1571529600
91,"[1562500800, '156.748', '157.593', '155.876', '155.876', '156.718', '30.39325191', 33]",1571529600
92,"[1562515200, '155.876', '159.169', '155.876', '159.108', '157.823', '37.36662350', 41]",1571529600
93,"[1562529600, '158.618', '159.685', '156.665', '157.999', '157.657', '190.91535214', 101]",1571529600
94,"[1562544000, '157.999', '158.743', '157.327', '157.989', '157.933', '19.41468133', 16]",1571529600
95,"[1562558400, '157.989', '158.130', '156.962', '156.962', '157.279', '14.38803132', 15]",1571529600
96,"[1562572800, '158.051', '160.716', '157.180', '158.750', '159.564', '69.61567058', 72]",1571529600
97,"[1562587200, '158.750', '159.381', '156.810', '156.810', '157.545', '15.57581654', 12]",1571529600
98,"[1562601600, '156.810', '159.597', '156.810', '159.132', '158.044', '81.48386406', 41]",1571529600
99,"[1562616000, '159.300', '160.000', '157.767', '159.198', '159.349', '218.02526998', 57]",1571529600
100,"[1562630400, '159.998', '162.381', '159.652', '160.492', '160.571', '101.81619937', 61]",1571529600
101,"[1562644800, '160.492', '161.585', '158.000', '158.000', '159.123', '131.72675485', 51]",1571529600
102,"[1562659200, '159.061', '159.956', '156.010', '156.622', '158.146', '112.28515882', 83]",1571529600
103,"[1562673600, '156.622', '157.637', '154.601', '155.500', '155.335', '218.95797981', 60]",1571529600
104,"[1562688000, '155.334', '156.500', '152.041', '154.500', '154.874', '580.24153915', 271]",1571529600
105,"[1562702400, '154.500', '156.166', '153.008', '156.166', '154.393', '865.09951906', 179]",1571529600
106,"[1562716800, '156.032', '157.773', '155.573', '155.573', '156.643', '97.99171817', 37]",1571529600
107,"[1562731200, '155.801', '156.994', '153.917', '153.917', '155.043', '100.84555705', 52]",1571529600
108,"[1562745600, '153.917', '155.048', '153.492', '154.159', '153.786', '40.24011186', 20]",1571529600
109,"[1562760000, '153.746', '154.176', '143.018', '147.245', '147.200', '523.03392379', 269]",1571529600
110,"[1562774400, '146.222', '150.687', '144.922', '150.687', '147.631', '237.69467506', 151]",1571529600
111,"[1562788800, '150.723', '151.586', '147.053', '149.918', '149.091', '151.91522445', 95]",1571529600
112,"[1562803200, '150.505', '150.506', '144.412', '145.275', '147.421', '64.86106890', 39]",1571529600
113,"[1562817600, '144.697', '144.697', '135.000', '141.540', '137.731', '401.33629432', 377]",1571529600
114,"[1562832000, '141.540', '142.680', '138.689', '142.680', '139.825', '259.67952360', 65]",1571529600
115,"[1562846400, '142.711', '143.878', '139.788', '139.788', '141.756', '117.26074243', 76]",1571529600
116,"[1562860800, '139.870', '145.020', '139.705', '145.020', '142.313', '541.83144235', 138]",1571529600
117,"[1562875200, '143.965', '144.903', '138.938', '142.621', '141.176', '98.21181076', 106]",1571529600
118,"[1562889600, '142.621', '144.862', '142.621', '144.243', '144.066', '46.32990522', 27]",1571529600
119,"[1562904000, '143.943', '148.520', '143.943', '147.832', '146.080', '100.04442904', 99]",1571529600
120,"[1562918400, '148.062', '148.220', '146.920', '147.986', '147.322', '47.60980053', 29]",1571529600
121,"[1562932800, '147.986', '147.986', '142.893', '143.379', '144.197', '252.75871586', 55]",1571529600
122,"[1562947200, '143.334', '144.019', '141.995', '142.871', '142.987', '15.46012143', 36]",1571529600
123,"[1562961600, '142.235', '143.528', '141.560', '142.962', '142.843', '181.69877403', 75]",1571529600
124,"[1562976000, '142.962', '142.962', '141.367', '142.602', '141.900', '3.48607172', 15]",1571529600
125,"[1562990400, '142.589', '144.591', '141.570', '141.570', '142.777', '91.09030161', 56]",1571529600
