,XXMRZUSD,last
0,"[1561190400, '113.87', '115.48', '113.20', '115.28', '114.67', '1679.47549607', 209]",1571529600
1,"[1561204800, '115.55', '119.14', '112.22', '115.08', '114.99', '3679.02298783', 641]",1571529600
2,"[1561219200, '115.07', '117.13', '113.76', '114.53', '115.94', '1855.52759719', 284]",1571529600
3,"[1561233600, '114.50', '114.80', '111.90', '114.80', '113.53', '2268.67922904', 300]",1571529600
4,"[1561248000, '114.08', '116.35', '114.08', '116.27', '115.78', '466.61046374', 226]",1571529600
5,"[1561262400, '116.27', '116.62', '115.07', '116.44', '115.94', '180.13239193', 97]",1571529600
6,"[1561276800, '116.44', '116.51', '113.51', '114.27', '114.39', '367.82396202', 86]",1571529600
7,"[1561291200, '114.48', '116.55', '114.29', '115.97', '115.33', '581.84276288', 135]",1571529600
8,"[1561305600, '116.00', '118.44', '115.79', '118.10', '116.87', '854.01740179', 156]",1571529600
9,"[1561320000, '118.63', '120.00', '113.84', '114.59', '116.93', '2002.97457563', 556]",1571529600
10,"[1561334400, '114.54', '114.54', '112.00', '113.20', '112.60', '1019.30124861', 316]",1571529600
11,"[1561348800, '113.47', '116.00', '112.70', '115.46', '114.87', '1032.81132814', 166]",1571529600
12,"[1561363200, '115.63', '116.85', '114.81', '115.42', '116.11', '267.04082570', 119]",1571529600
13,"[1561377600, '115.53', '116.59', '115.09', '116.06', '115.83', '583.41486916', 130]",1571529600
14,"[1561392000, '116.06', '119.86', '115.81', '117.24', '118.28', '1295.17017447', 368]",1571529600
15,"[1561406400, '117.18', '117.93', '116.64', '117.55', '117.26', '362.52277159', 160]",1571529600
16,"[1561420800, '117.55', '118.37', '115.96', '115.99', '117.04', '497.13325833', 211]",1571529600
17,"[1561435200, '116.30', '117.32', '115.39', '116.08', '115.95', '294.16920058', 133]",1571529600
18,"[1561449600, '116.08', '117.18', '114.81', '117.18', '115.46', '608.40586523', 115]",1571529600
19,"[1561464000, '117.18', '117.53', '114.88', '114.89', '115.58', '1466.31075177', 247]",1571529600
20,"[1561478400, '114.89', '114.94', '112.60', '113.37', '113.82', '1195.66184764', 264]",1571529600
21,"[1561492800, '113.24', '113.84', '111.37', '111.93', '112.43', '1321.03348236', 393]",1571529600
22,"[1561507200, '111.93', '112.48', '106.70', '107.07', '111.19', '3299.68051015', 510]",1571529600
23,"[1561521600, '107.07', '109.91', '104.11', '105.98', '107.10', '5364.03598911', 957]",1571529600
24,"[1561536000, '106.13', '106.81', '101.75', '106.59', '103.96', '2278.65806533', 562]",1571529600
25,"[1561550400, '106.59', '112.25', '106.59', '110.44', '109.21', '2910.99443718', 711]",1571529600
26,"[1561564800, '110.77', '113.00', '108.41', '109.57', '111.03', '3537.50533749', 788]",1571529600
27,"[1561579200, '109.44', '110.00', '100.10', '103.62', '103.39', '8114.73504038', 1844]",1571529600
28,"[1561593600, '103.68', '105.66', '99.28', '102.47', '101.72', '3094.10445201', 680]",1571529600
29,"[1561608000, '102.45', '102.66', '93.75', '96.30', '97.89', '6745.52308165', 822]",1571529600
30,"[1561622400, '96.56', '96.56', '89.49', '94.02', '91.66', '3901.24441279', 806]",1571529600
31,"[1561636800, '94.33', '97.13', '89.09', '94.22', '92.55', '3745.96226770', 500]",1571529600
32,"[1561651200, '94.50', '94.52', '86.86', '93.56', '90.41', '5333.62041798', 973]",1571529600
33,"[1561665600, '93.53', '95.25', '91.78', '94.57', '93.63', '3763.43654371', 619]",1571529600
34,"[1561680000, '94.75', '98.15', '92.19', '96.21', '94.82', '2954.91583740', 392]",1571529600
35,"[1561694400, '96.25', '98.78', '93.61', '97.97', '96.15', '1054.65994991', 228]",1571529600
36,"[1561708800, '98.25', '100.13', '97.76', '100.13', '98.64', '1799.54341378', 307]",1571529600
37,"[1561723200, '100.13', '100.13', '95.48', '97.84', '97.32', '1298.80424933', 217]",1571529600
38,"[1561737600, '98.10', '101.00', '96.27', '100.01', '98.51', '861.36867234', 194]",1571529600
39,"[1561752000, '100.64', '102.66', '98.64', '102.18', '100.67', '1251.10456350', 245]",1571529600
40,"[1561766400, '101.61', '101.61', '92.70', '94.13', '94.90', '3296.52199311', 434]",1571529600
41,"[1561780800, '94.72', '96.54', '93.66', '96.54', '95.35', '701.45037489', 100]",1571529600
42,"[1561795200, '96.51', '98.03', '93.93', '97.85', '96.13', '582.29204795', 166]",1571529600
43,"[1561809600, '97.44', '99.00', '96.58', '98.82', '97.93', '834.84023119', 180]",1571529600
44,"[1561824000, '99.08', '99.46', '97.02', '99.18', '97.87', '511.92187388', 118]",1571529600
45,"[1561838400, '99.18', '101.05', '98.48', '99.81', '100.11', '711.28314070', 151]",1571529600
46,"[1561852800, '99.79', '100.39', '99.06', '99.40', '99.43', '397.32077299', 64]",1571529600
47,"[1561867200, '99.27', '100.03', '97.29', '97.29', '98.53', '436.76049033', 110]",1571529600
48,"[1561881600, '97.72', '97.98', '95.39', '95.49', '96.34', '306.66341200', 72]",1571529600
49,"[1561896000, '95.49', '95.66', '90.89', '91.74', '92.68', '1642.03948812', 354]",1571529600
50,"[1561910400, '91.46', '94.33', '89.50', '93.61', '92.40', '848.26668698', 184]",1571529600
51,"[1561924800, '93.83', '94.87', '86.63', '87.68', '89.22', '1167.64725655', 279]",1571529600
52,"[1561939200, '88.20', '91.33', '87.13', '90.29', '89.50', '1259.30007822', 187]",1571529600
53,"[1561953600, '90.29', '90.63', '89.26', '90.40', '90.21', '694.89400708', 109]",1571529600
54,"[1561968000, '90.40', '94.06', '90.37', '92.52', '92.53', '932.69206871', 168]",1571529600
55,"[1561982400, '92.91', '92.91', '83.60', '86.57', '86.51', '3248.96854872', 485]",1571529600
56,"[1561996800, '86.47', '86.76', '84.47', '86.45', '85.77', '943.28345944', 203]",1571529600
57,"[1562011200, '86.64', '89.33', '86.64', '88.73', '88.19', '1035.22536231', 216]",1571529600
58,"[1562025600, '88.19', '88.19', '85.65', '87.50', '86.81', '1091.29091877', 155]",1571529600
59,"[1562040000, '86.95', '86.95', '82.23', '85.30', '83.62', '2568.57474253', 408]",1571529600
60,"[1562054400, '85.13', '87.26', '82.67', '83.51', '84.32', '3096.60953445', 329]",1571529600
