,XXBTZUSD,last
0,"[1561190400, '10675.0', '10968.2', '10641.8', '10874.3', '10846.9', '1074.31834430', 4878]",1571529600
1,"[1561204800, '10875.0', '11216.8', '10000.0', '10772.2', '10805.3', '3395.07238311', 13618]",1571529600
2,"[1561219200, '10786.7', '10983.0', '10427.3', '10667.5', '10747.8', '1740.30434432', 8296]",1571529600
3,"[1561233600, '10666.1', '10727.0', '10367.0', '10663.8', '10556.6', '1570.97512358', 8165]",1571529600
4,"[1561248000, '10663.6', '10883.3', '10599.2', '10724.7', '10779.1', '1091.16239142', 6093]",1571529600
5,"[1561262400, '10725.0', '10751.0', '10604.2', '10692.0', '10697.2', '384.97218265', 2857]",1571529600
6,"[1561276800, '10682.0', '10717.8', '10474.0', '10577.0', '10585.3', '429.56783828', 2814]",1571529600
7,"[1561291200, '10577.1', '10740.0', '10577.0', '10728.2', '10677.7', '592.12252117', 3399]",1571529600
8,"[1561305600, '10728.1', '11000.0', '10660.0', '10950.0', '10840.5', '996.53348659', 7264]",1571529600
9,"[1561320000, '10950.0', '11286.8', '10600.0', '10814.1', '10967.2', '2449.11049697', 12422]",1571529600
10,"[1561334400, '10812.1', '10812.1', '10511.0', '10613.9', '10609.0', '998.30045696', 5860]",1571529600
11,"[1561348800, '10613.9', '10800.0', '10571.5', '10739.9', '10723.2', '782.31546700', 3060]",1571529600
12,"[1561363200, '10739.9', '10944.9', '10739.8', '10839.0', '10847.9', '519.97305207', 2782]",1571529600
13,"[1561377600, '10839.0', '10950.0', '10751.4', '10917.1', '10872.0', '798.59625364', 3737]",1571529600
14,"[1561392000, '10917.0', '11102.6', '10800.0', '10908.0', '10982.9', '1693.76760230', 7555]",1571529600
15,"[1561406400, '10908.0', '11067.5', '10798.1', '11020.6', '10945.2', '662.83886006', 3305]",1571529600
16,"[1561420800, '11023.9', '11220.0', '11007.5', '11122.0', '11111.5', '1679.84008945', 5118]",1571529600
17,"[1561435200, '11122.0', '11400.0', '11110.5', '11352.7', '11274.4', '2074.86290370', 6937]",1571529600
18,"[1561449600, '11348.0', '11488.0', '11230.7', '11387.0', '11374.4', '1367.22718989', 5935]",1571529600
19,"[1561464000, '11387.1', '11414.2', '11011.0', '11355.2', '11257.6', '2423.00077258', 7269]",1571529600
20,"[1561478400, '11355.2', '11446.0', '11225.0', '11367.3', '11352.0', '1463.59238954', 4636]",1571529600
21,"[1561492800, '11366.6', '11800.0', '11343.8', '11765.1', '11591.3', '2615.25809842', 10327]",1571529600
22,"[1561507200, '11765.1', '12248.0', '11675.0', '12234.8', '11942.4', '3164.03769161', 11881]",1571529600
23,"[1561521600, '12237.6', '12964.7', '12150.0', '12445.7', '12566.5', '5006.29784177', 18458]",1571529600
24,"[1561536000, '12444.8', '12700.0', '12178.3', '12640.8', '12515.0', '1979.73092896', 7960]",1571529600
25,"[1561550400, '12640.8', '12950.0', '12546.6', '12836.2', '12787.9', '2770.18598419', 10336]",1571529600
26,"[1561564800, '12836.4', '13875.7', '12791.8', '13839.0', '13416.8', '5720.87112558', 20772]",1571529600
27,"[1561579200, '13839.2', '13850.0', '11540.1', '12933.7', '12512.0', '6995.91385035', 30763]",1571529600
28,"[1561593600, '12933.2', '13360.9', '12333.0', '12818.2', '12830.5', '3518.33662671', 13589]",1571529600
29,"[1561608000, '12818.2', '13070.6', '12086.1', '12350.0', '12554.1', '2480.48598073', 9405]",1571529600
30,"[1561622400, '12362.7', '12383.8', '11253.6', '12070.0', '11799.2', '3865.61235378', 14314]",1571529600
31,"[1561636800, '12070.0', '12177.9', '11305.0', '11646.6', '11691.0', '4043.39108608', 12617]",1571529600
32,"[1561651200, '11642.3', '11777.0', '10355.2', '10830.9', '10885.2', '7098.00816446', 24343]",1571529600
33,"[1561665600, '10829.1', '11335.0', '10300.0', '11148.0', '10797.3', '4030.19299897', 16015]",1571529600
34,"[1561680000, '11161.9', '11533.0', '10750.0', '11100.1', '11208.8', '2718.87882531', 10031]",1571529600
35,"[1561694400, '11100.1', '11594.7', '10723.3', '11254.8', '11153.8', '2145.35688182', 6927]",1571529600
36,"[1561708800, '11254.8', '12118.3', '11254.7', '12071.2', '11775.6', '2110.46137731', 8464]",1571529600
37,"[1561723200, '12082.4', '12092.9', '11521.1', '11902.7', '11801.0', '2662.71044265', 9195]",1571529600
38,"[1561737600, '11903.1', '12357.0', '11717.0', '12315.0', '12014.6', '2343.70758258', 7794]",1571529600
39,"[1561752000, '12315.0', '12450.0', '12090.0', '12360.0', '12290.0', '1819.78773868', 7784]",1571529600
