,SCUSD,last
0,"[1570622400, '0.01000', '0.01000', '0.00231', '0.00287', '0.00332', '1431382.91722547', 34]",1571529600
1,"[1570636800, '0.00287', '0.00287', '0.00209', '0.00213', '0.00224', '5803752.47821258', 165]",1571529600
2,"[1570651200, '0.00213', '0.00224', '0.00200', '0.00200', '0.00209', '3271342.74899905', 67]",1571529600
3,"[1570665600, '0.00200', '0.00212', '0.00183', '0.00193', '0.00196', '72117000.20175741', 404]",1571529600
4,"[1570680000, '0.00198', '0.00213', '0.00182', '0.00213', '0.00196', '17824566.21304822', 125]",1571529600
5,"[1570694400, '0.00213', '0.00213', '0.00211', '0.00212', '0.00211', '236260.35697700', 8]",1571529600
6,"[1570708800, '0.00212', '0.00212', '0.00198', '0.00200', '0.00206', '107151.99838155', 8]",1571529600
7,"[1570723200, '0.00200', '0.00200', '0.00198', '0.00198', '0.00198', '283358.53451155', 13]",1571529600
8,"[1570737600, '0.00204', '0.00204', '0.00203', '0.00204', '0.00203', '513318.92156862', 3]",1571529600
9,"[1570752000, '0.00207', '0.00300', '0.00167', '0.00211', '0.00236', '2798444.02181758', 90]",1571529600
10,"[1570766400, '0.00211', '0.00227', '0.00179', '0.00179', '0.00204', '413490.51467092', 23]",1571529600
11,"[1570780800, '0.00179', '0.00238', '0.00179', '0.00206', '0.00206', '545950.00000000', 4]",1571529600
12,"[1570795200, '0.00206', '0.00215', '0.00201', '0.00205', '0.00203', '429032.27175119', 45]",1571529600
13,"[1570809600, '0.00202', '0.00229', '0.00182', '0.00202', '0.00202', '80417337.05887319', 974]",1571529600
14,"[1570824000, '0.00204', '0.00227', '0.00195', '0.00206', '0.00202', '23751217.11734034', 1015]",1571529600
15,"[1570838400, '0.00206', '0.00219', '0.00205', '0.00205', '0.00212', '413607.32068966', 8]",1571529600
16,"[1570852800, '0.00205', '0.00222', '0.00205', '0.00212', '0.00213', '178500.00000000', 6]",1571529600
17,"[1570867200, '0.00212', '0.00220', '0.00212', '0.00220', '0.00218', '968738.91570316', 27]",1571529600
18,"[1570881600, '0.00220', '0.00276', '0.00201', '0.00230', '0.00234', '3240683.35193383', 102]",1571529600
19,"[1570896000, '0.00230', '0.00288', '0.00230', '0.00277', '0.00266', '6999278.30593940', 206]",1571529600
20,"[1570910400, '0.00262', '0.00273', '0.00222', '0.00240', '0.00245', '7203077.79348940', 173]",1571529600
21,"[1570924800, '0.00261', '0.00261', '0.00234', '0.00235', '0.00235', '240402.96690804', 12]",1571529600
22,"[1570939200, '0.00235', '0.00271', '0.00231', '0.00242', '0.00244', '2539009.84842693', 72]",1571529600
23,"[1570953600, '0.00244', '0.00260', '0.00244', '0.00260', '0.00257', '801489.56060268', 13]",1571529600
24,"[1570968000, '0.00260', '0.00260', '0.00224', '0.00234', '0.00232', '802341.75266062', 19]",1571529600
25,"[1570982400, '0.00230', '0.00255', '0.00220', '0.00227', '0.00233', '9563239.78062085', 244]",1571529600
26,"[1570996800, '0.00227', '0.00233', '0.00226', '0.00231', '0.00229', '228863.66188000', 7]",1571529600
27,"[1571011200, '0.00231', '0.00231', '0.00225', '0.00225', '0.00225', '568232.20000000', 4]",1571529600
28,"[1571025600, '0.00225', '0.00226', '0.00221', '0.00226', '0.00223', '286130.02733308', 10]",1571529600
29,"[1571040000, '0.00227', '0.00235', '0.00227', '0.00235', '0.00228', '177370.36982363', 11]",1571529600
30,"[1571054400, '0.00235', '0.00259', '0.00221', '0.00238', '0.00247', '3158498.91411599', 52]",1571529600
31,"[1571068800, '0.00238', '0.00251', '0.00233', '0.00237', '0.00243', '2117651.50859319', 67]",1571529600
32,"[1571083200, '0.00237', '0.00239', '0.00230', '0.00233', '0.00234', '836635.91104060', 31]",1571529600
33,"[1571097600, '0.00235', '0.00235', '0.00226', '0.00226', '0.00230', '415461.95205291', 15]",1571529600
34,"[1571112000, '0.00226', '0.00231', '0.00225', '0.00225', '0.00226', '378042.45090770', 27]",1571529600
35,"[1571126400, '0.00224', '0.00226', '0.00223', '0.00226', '0.00224', '173951.09870008', 13]",1571529600
36,"[1571140800, '0.00227', '0.00236', '0.00225', '0.00227', '0.00229', '789015.98949319', 26]",1571529600
37,"[1571155200, '0.00227', '0.00227', '0.00210', '0.00214', '0.00218', '3770689.21202451', 84]",1571529600
