,BATUSD,last
0,"[1566489600, '0.00000', '0.21998', '0.00000', '0.19998', '0.20213', '140265.05659304', 204]",1571529600
1,"[1566504000, '0.20169', '0.20396', '0.19800', '0.20046', '0.20020', '26620.81747394', 44]",1571529600
2,"[1566518400, '0.19900', '0.22000', '0.19500', '0.19500', '0.19864', '70318.66880812', 81]",1571529600
3,"[1566532800, '0.19400', '0.19685', '0.19273', '0.19493', '0.19399', '21056.01572048', 21]",1571529600
4,"[1566547200, '0.20473', '0.20473', '0.19315', '0.19356', '0.19558', '9284.41110766', 27]",1571529600
5,"[1566561600, '0.19273', '0.22490', '0.19273', '0.19700', '0.20243', '41234.11001102', 71]",1571529600
6,"[1566576000, '0.20300', '0.20499', '0.19585', '0.19824', '0.20099', '5026.40297174', 18]",1571529600
7,"[1566590400, '0.20000', '0.21000', '0.19980', '0.20215', '0.20508', '76002.49346579', 54]",1571529600
8,"[1566604800, '0.20342', '0.21340', '0.20271', '0.20277', '0.20382', '9573.66142623', 17]",1571529600
9,"[1566619200, '0.20395', '0.20395', '0.19907', '0.19907', '0.20210', '2895.86152570', 3]",1571529600
10,"[1566633600, '0.19915', '0.20299', '0.19490', '0.19654', '0.19639', '52024.34625422', 74]",1571529600
11,"[1566648000, '0.19780', '0.20096', '0.19520', '0.20024', '0.19952', '30455.27308300', 22]",1571529600
12,"[1566662400, '0.19869', '0.20784', '0.19869', '0.20315', '0.20285', '156101.18694369', 101]",1571529600
13,"[1566676800, '0.20315', '0.20435', '0.20041', '0.20100', '0.20301', '25728.22291133', 22]",1571529600
14,"[1566691200, '0.20100', '0.20470', '0.20100', '0.20470', '0.20390', '2000.00000000', 2]",1571529600
15,"[1566705600, '0.20164', '0.20412', '0.19819', '0.20412', '0.19900', '23381.48752962', 12]",1571529600
16,"[1566720000, '0.20384', '0.20384', '0.20200', '0.20365', '0.20277', '3462.55440442', 5]",1571529600
17,"[1566734400, '0.19828', '0.19828', '0.19211', '0.19277', '0.19472', '137924.74816587', 77]",1571529600
18,"[1566748800, '0.19277', '0.19453', '0.19277', '0.19392', '0.19371', '27690.24499564', 16]",1571529600
19,"[1566763200, '0.19229', '0.19229', '0.19036', '0.19182', '0.19161', '32652.04570717', 14]",1571529600
20,"[1566777600, '0.19182', '0.19633', '0.18917', '0.18969', '0.19100', '77283.37630124', 53]",1571529600
21,"[1566792000, '0.18968', '0.19077', '0.18897', '0.19077', '0.18983', '5766.64039674', 15]",1571529600
22,"[1566806400, '0.18847', '0.19861', '0.18780', '0.19036', '0.18893', '82124.45542933', 90]",1571529600
23,"[1566820800, '0.19036', '0.19169', '0.18750', '0.19169', '0.18831', '43673.06670820', 23]",1571529600
24,"[1566835200, '0.19169', '0.19169', '0.19157', '0.19157', '0.19157', '1391.53385432', 1]",1571529600
25,"[1566849600, '0.19106', '0.19783', '0.18653', '0.19783', '0.18952', '65188.09990443', 62]",1571529600
26,"[1566864000, '0.18956', '0.18956', '0.17567', '0.17844', '0.17973', '50331.10391533', 55]",1571529600
27,"[1566878400, '0.17844', '0.18351', '0.17844', '0.18223', '0.18245', '3594.82015843', 8]",1571529600
28,"[1566892800, '0.18266', '0.18524', '0.18266', '0.18323', '0.18405', '46751.06542483', 69]",1571529600
29,"[1566907200, '0.17989', '0.19749', '0.17986', '0.19749', '0.18421', '29402.59153410', 16]",1571529600
30,"[1566921600, '0.18450', '0.18807', '0.18299', '0.18711', '0.18605', '10467.56050941', 22]",1571529600
31,"[1566936000, '0.18805', '0.18874', '0.18487', '0.18874', '0.18732', '6585.89000000', 6]",1571529600
32,"[1566950400, '0.18874', '0.19094', '0.18816', '0.18996', '0.19016', '17891.27173004', 18]",1571529600
33,"[1566964800, '0.18992', '0.19924', '0.18992', '0.19539', '0.19395', '61980.82475028', 55]",1571529600
34,"[1566979200, '0.19346', '0.19465', '0.19260', '0.19260', '0.19349', '23829.87040888', 38]",1571529600
35,"[1566993600, '0.19211', '0.19354', '0.19211', '0.19340', '0.19261', '32108.78154703', 39]",1571529600
36,"[1567008000, '0.19344', '0.19344', '0.17491', '0.18112', '0.18276', '131244.02679535', 140]",1571529600
37,"[1567022400, '0.18039', '0.18421', '0.18039', '0.18313', '0.18152', '16507.48186446', 20]",1571529600
38,"[1567036800, '0.18313', '0.18313', '0.16815', '0.16874', '0.17593', '153964.82529151', 122]",1571529600
39,"[1567051200, '0.16854', '0.17107', '0.16779', '0.16779', '0.16944', '11810.65995749', 9]",1571529600
40,"[1567065600, '0.16982', '0.17097', '0.16957', '0.17059', '0.17048', '12398.61445658', 10]",1571529600
41,"[1567080000, '0.17037', '0.17306', '0.16954', '0.16954', '0.17078', '35922.96952849', 38]",1571529600
42,"[1567094400, '0.16937', '0.17249', '0.16937', '0.17249', '0.16992', '26405.34648987', 33]",1571529600
43,"[1567108800, '0.17232', '0.17564', '0.17086', '0.17086', '0.17404', '59880.71869020', 92]",1571529600
44,"[1567123200, '0.16966', '0.17189', '0.16966', '0.17189', '0.17134', '13298.78392506', 5]",1571529600
45,"[1567137600, '0.17235', '0.17700', '0.17088', '0.17260', '0.17477', '106869.04920168', 131]",1571529600
46,"[1567152000, '0.17372', '0.17548', '0.17372', '0.17548', '0.17456', '14788.03333986', 24]",1571529600
47,"[1567166400, '0.17548', '0.18016', '0.17438', '0.17691', '0.17796', '42078.29039704', 29]",1571529600
48,"[1567180800, '0.17792', '0.17854', '0.17676', '0.17682', '0.17755', '4214.68084409', 14]",1571529600
49,"[1567195200, '0.17720', '0.18005', '0.17720', '0.17792', '0.17820', '1876.39978000', 6]",1571529600
50,"[1567209600, '0.17686', '0.18262', '0.17686', '0.17876', '0.18094', '130012.91108080', 99]",1571529600
51,"[1567224000, '0.17876', '0.17876', '0.17876', '0.17876', '0.00000', '0.00000000', 0]",1571529600
52,"[1567238400, '0.17876', '0.17876', '0.17876', '0.17876', '0.00000', '0.00000000', 0]",1571529600
53,"[1567252800, '0.17876', '0.17876', '0.17876', '0.17876', '0.00000', '0.00000000', 0]",1571529600
54,"[1567267200, '0.17876', '0.17876', '0.17765', '0.17765', '0.17765', '240.00000000', 1]",1571529600
55,"[1567281600, '0.17772', '0.17891', '0.17550', '0.17770', '0.17729', '18541.06980328', 26]",1571529600
56,"[1567296000, '0.17700', '0.17764', '0.17700', '0.17764', '0.17756', '3000.00000000', 2]",1571529600
57,"[1567310400, '0.17711', '0.17743', '0.17711', '0.17743', '0.17742', '2050.00000000', 5]",1571529600
