time,open,high,low,close,vwap,vol
1566489600,0.0000,1.5821,0.0000,1.2919,1.3107,3237.36928906,50
1566504000,1.2932,1.3055,1.2926,1.3055,1.2981,3957.16169943,16
1566518400,1.2775,1.2775,1.2539,1.2539,1.2687,2061.00817557,13
1566532800,1.2539,1.2699,1.2539,1.2699,1.2644,2730.44108877,13
1566547200,1.2716,1.4799,1.2716,1.2870,1.2892,7171.11208904,99
1566561600,1.2846,1.3261,1.2772,1.3261,1.3006,20902.70627150,317
1566576000,1.3261,1.3403,1.2932,1.3091,1.3187,13340.71451518,312
1566590400,1.3092,1.3144,1.2965,1.3030,1.3052,6160.44996909,37
1566604800,1.2987,1.3187,1.2987,1.3187,1.3122,7377.09445376,33
1566619200,1.3187,1.3440,1.3159,1.3440,1.3345,4111.35307023,49
1566633600,1.3440,1.3454,1.2902,1.2982,1.3162,1634.17090264,24
1566648000,1.2982,1.2982,1.2782,1.2893,1.2829,2734.30736289,13
1566662400,1.2893,1.3200,1.2893,1.3041,1.2990,1470.12596023,26
1566676800,1.2941,1.2980,1.2899,1.2980,1.2937,1884.43893729,19
1566691200,1.2980,1.2980,1.2854,1.2854,1.2854,30.00000000,1
1566705600,1.2854,1.3069,1.2854,1.3069,1.3004,2500.00000000,16
1566720000,1.3066,1.3197,1.3066,1.3197,1.3119,2132.90770630,16
1566734400,1.3197,1.3197,1.2800,1.2800,1.2864,1287.88306111,16
1566748800,1.2779,1.2821,1.2725,1.2752,1.2756,2047.99331245,26
1566763200,1.2739,1.2739,1.2437,1.2437,1.2585,6526.66519105,18
1566777600,1.2588,1.3098,1.2566,1.2777,1.2876,19825.01427603,53
1566792000,1.2777,1.3083,1.2777,1.3083,1.3017,2648.24523524,20
1566806400,1.3083,1.3083,1.2862,1.3047,1.2987,2251.30243719,15
1566820800,1.3011,1.3011,1.2829,1.2864,1.2899,1349.90088435,9
1566835200,1.2864,1.2887,1.2864,1.2887,1.2887,500.00000000,1
1566849600,1.2887,1.2887,1.2887,1.2887,0.0000,0.00000000,0
1566864000,1.2887,1.2887,1.2200,1.2200,1.2249,2024.68176288,9
1566878400,1.2229,1.2436,1.2229,1.2436,1.2360,209.09763677,7
1566892800,1.2351,1.2700,1.2349,1.2501,1.2581,1639.02112306,18
1566907200,1.2349,1.2349,1.2348,1.2348,1.2348,82.75808418,2
1566921600,1.2378,1.2446,1.2371,1.2446,1.2416,547.80384109,5
1566936000,1.2247,1.2268,1.2247,1.2249,1.2248,3303.73120729,7
1566950400,1.2249,1.2370,1.2249,1.2289,1.2359,576.34085167,7
1566964800,1.2209,1.2209,1.2101,1.2146,1.2117,1878.48543506,11
1566979200,1.2209,1.2324,1.2047,1.2313,1.2236,7641.69548742,35
1566993600,1.2313,1.2432,1.2275,1.2400,1.2389,1630.52101452,12
1567008000,1.2400,1.2400,1.1307,1.1400,1.1826,18887.63492253,82
1567022400,1.1281,1.1669,1.1281,1.1669,1.1568,2319.55464777,31
1567036800,1.1473,1.1669,1.1434,1.1669,1.1509,715.36112514,8
1567051200,1.1669,1.1669,1.1070,1.1070,1.1260,227.34405450,6
1567065600,1.1070,1.1203,1.1070,1.1203,1.1161,2000.00000000,12
1567080000,1.1000,1.1090,1.0997,1.1048,1.1033,370.64953759,9
1567094400,1.1048,1.1135,1.0953,1.0953,1.1065,1500.00000000,26
1567108800,1.1163,1.1163,1.1086,1.1086,1.1152,573.08711074,6
1567123200,1.1086,1.1086,1.1023,1.1023,1.1023,165.25158265,1
1567137600,1.1023,1.1211,1.1023,1.1211,1.1209,205.91288926,2
1567152000,1.1211,1.1344,1.1211,1.1305,1.1292,2354.07088259,24
1567166400,1.1305,1.1305,1.1200,1.1200,1.1200,550.00000000,1
1567180800,1.1200,1.1200,1.1164,1.1181,1.1167,565.99999997,6
1567195200,1.1232,1.1232,1.1232,1.1232,1.1232,500.00000000,7
1567209600,1.1260,1.1288,1.1260,1.1275,1.1268,845.15863584,6
1567224000,1.1092,1.1200,1.1092,1.1200,1.1145,84.92871368,5
1567238400,1.1200,1.1200,1.1200,1.1200,0.0000,0.00000000,0
1567252800,1.1200,1.1200,1.1200,1.1200,0.0000,0.00000000,0
1567267200,1.1200,1.1200,1.1200,1.1200,0.0000,0.00000000,0
1567281600,1.1200,1.1200,1.0687,1.1043,1.0864,3280.06187396,19
1567296000,1.1043,1.1043,1.1043,1.1043,1.1043,49.99999998,4
1567310400,1.1043,1.1089,1.1043,1.1089,1.1089,39.96000000,1
1567324800,1.1039,1.1140,1.0969,1.1140,1.1028,774.62419119,9
1567339200,1.0866,1.0935,1.0863,1.0863,1.0903,928.73219900,5
1567353600,1.0863,1.0863,1.0730,1.0730,1.0743,1065.85177645,7
1567368000,1.0730,1.1097,1.0730,1.1097,1.0964,2993.96483445,21
1567382400,1.1097,1.1112,1.1097,1.1111,1.1111,27.81774818,2
1567396800,1.1111,1.1111,1.1111,1.1111,0.0000,0.00000000,0
1567411200,1.1113,1.1142,1.1113,1.1126,1.1135,1645.87980000,10
1567425600,1.1126,1.1183,1.1126,1.1162,1.1152,2500.00000000,16
1567440000,1.1148,1.1352,1.1147,1.1289,1.1263,1649.89922938,15
1567454400,1.1292,1.1476,1.1290,1.1476,1.1366,5458.20229309,67
1567468800,1.1476,1.1476,1.1476,1.1476,0.0000,0.00000000,0
1567483200,1.1389,1.1389,1.1249,1.1249,1.1376,550.00000000,5
1567497600,1.1249,1.1249,1.1165,1.1237,1.1194,898.55199428,7
1567512000,1.1237,1.1508,1.1237,1.1478,1.1383,7365.96705916,59
1567526400,1.1478,1.1496,1.1409,1.1496,1.1427,2534.49548488,28
1567540800,1.1496,1.1584,1.1440,1.1463,1.1508,3117.23245848,30
1567555200,1.1427,1.1463,1.1427,1.1463,1.1442,984.42743897,11
1567569600,1.1463,1.1463,1.1338,1.1369,1.1339,225.99076988,2
1567584000,1.1369,1.1369,1.1244,1.1255,1.1247,42.96696399,2
1567598400,1.1235,1.1235,1.1098,1.1196,1.1143,2002.28663312,14
1567612800,1.1196,1.1445,1.1196,1.1445,1.1319,2299.04536194,19
1567627200,1.1445,1.1445,1.1262,1.1262,1.1392,660.43133340,10
1567641600,1.1262,1.1402,1.1257,1.1402,1.1305,1605.68599809,11
1567656000,1.1402,1.1431,1.1402,1.1431,1.1414,1589.42949232,11
1567670400,1.1431,1.1431,1.1103,1.1159,1.1114,66.48339472,2
1567684800,1.1159,1.1159,1.0935,1.1137,1.1028,2119.00473522,22
1567699200,1.1165,1.1165,1.0979,1.1100,1.1110,2132.59387647,24
1567713600,1.1100,1.1100,1.0918,1.1085,1.1051,1594.91667059,12
1567728000,1.1085,1.1085,1.1085,1.1085,0.0000,0.00000000,0
1567742400,1.1085,1.1156,1.1044,1.1044,1.1142,570.07097096,8
1567756800,1.1044,1.1044,1.0900,1.0937,1.0918,2794.69098904,21
1567771200,1.0960,1.0977,1.0940,1.0973,1.0963,2156.42967101,5
1567785600,1.0902,1.0920,1.0434,1.0608,1.0686,5408.52863189,42
1567800000,1.0474,1.0508,1.0351,1.0508,1.0410,4121.05656803,21
1567814400,1.0508,1.0508,1.0508,1.0508,0.0000,0.00000000,0
1567828800,1.0508,1.0508,1.0508,1.0508,0.0000,0.00000000,0
1567843200,1.0508,1.0508,1.0508,1.0508,0.0000,0.00000000,0
1567857600,1.0536,1.0692,1.0536,1.0692,1.0579,1478.99237676,11
1567872000,1.0691,1.0808,1.0614,1.0724,1.0725,3921.91264468,36
1567886400,1.0724,1.0758,1.0675,1.0730,1.0715,2127.07514666,13
1567900800,1.0777,1.0811,1.0777,1.0811,1.0791,1033.01001001,4
1567915200,1.0736,1.0736,1.0712,1.0712,1.0715,114.54873949,5
1567929600,1.0770,1.0773,1.0498,1.0550,1.0714,7046.55341503,28
1567944000,1.0591,1.0698,1.0591,1.0698,1.0623,1679.49710223,7
1567958400,1.0698,1.0722,1.0698,1.0700,1.0701,907.56853117,7
1567972800,1.0644,1.0644,1.0639,1.0639,1.0639,170.66692941,3
1567987200,1.0639,1.0639,1.0567,1.0567,1.0605,319.72590000,3
1568001600,1.0567,1.0594,1.0487,1.0594,1.0535,2137.20219105,12
1568016000,1.0594,1.0696,1.0426,1.0694,1.0527,8048.99691670,30
1568030400,1.0722,1.1129,1.0721,1.0931,1.0980,10098.47613844,38
1568044800,1.0931,1.0931,1.0601,1.0671,1.0688,4429.00399701,37
1568059200,1.0671,1.0703,1.0588,1.0700,1.0679,1959.81664542,17
1568073600,1.0700,1.0722,1.0700,1.0722,1.0722,500.00000000,1
1568088000,1.0722,1.0722,1.0700,1.0700,1.0704,426.22703343,3
1568102400,1.0700,1.0700,1.0576,1.0576,1.0576,68.10000000,1
1568116800,1.0528,1.0553,1.0519,1.0519,1.0525,624.50225095,6
1568131200,1.0519,1.0561,1.0423,1.0423,1.0459,2435.52366447,15
1568145600,1.0423,1.0423,1.0350,1.0361,1.0365,210.00000000,8
1568160000,1.0396,1.0448,1.0377,1.0377,1.0414,1795.84222862,5
1568174400,1.0377,1.0377,1.0227,1.0312,1.0283,982.76417613,12
1568188800,1.0312,1.0312,1.0235,1.0261,1.0239,594.59363682,4
1568203200,1.0229,1.0233,1.0166,1.0171,1.0190,1081.42133715,15
1568217600,1.0171,1.0250,1.0146,1.0250,1.0192,2745.66826692,8
1568232000,1.0231,1.0231,1.0178,1.0178,1.0191,394.64561895,4
1568246400,1.0178,1.0178,1.0178,1.0178,0.0000,0.00000000,0
1568260800,1.0178,1.0208,1.0178,1.0208,1.0200,1204.85471785,6
1568275200,1.0208,1.0299,1.0162,1.0299,1.0226,3233.86054032,11
1568289600,1.0242,1.0313,1.0081,1.0313,1.0172,6905.09051379,34
1568304000,1.0313,1.0313,1.0235,1.0235,1.0235,10.00000000,1
1568318400,1.0306,1.0332,1.0241,1.0300,1.0314,2079.28280033,18
1568332800,1.0300,1.0300,1.0220,1.0230,1.0227,68.31608510,6
1568347200,1.0230,1.0300,1.0219,1.0300,1.0274,1515.01501501,7
1568361600,1.0300,1.0300,1.0200,1.0200,1.0209,447.82788208,8
1568376000,1.0200,1.0207,1.0147,1.0147,1.0165,420.12012012,5
1568390400,1.0257,1.0257,1.0090,1.0090,1.0134,533.34000000,6
1568404800,1.0044,1.0305,0.9996,1.0305,1.0134,3686.46120600,22
1568419200,1.0291,1.0300,1.0250,1.0250,1.0290,110.00000000,3
1568433600,1.0250,1.0250,1.0250,1.0250,0.0000,0.00000000,0
