,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2019-04-23T00:00:00Z,50.640000,51.750000,51.898300,50.510000,3681465,reg,False,SPXL
1,2019-04-24T00:00:00Z,51.720000,51.480000,51.915000,51.348300,2358493,reg,False,SPXL
2,2019-04-25T00:00:00Z,51.370000,51.340000,51.690000,50.630000,2976156,reg,False,SPXL
3,2019-04-26T00:00:00Z,51.350000,52.020000,52.040000,50.870000,3122809,reg,False,SPXL
4,2019-04-29T00:00:00Z,52.060000,52.200000,52.556000,52.010000,2178485,reg,False,SPXL
5,2019-04-30T00:00:00Z,52.030000,52.300000,52.469900,51.200000,3347447,reg,False,SPXL
6,2019-05-01T00:00:00Z,52.710000,51.150000,52.810000,51.140000,5548966,reg,False,SPXL
7,2019-05-02T00:00:00Z,51.030000,50.800000,51.595800,49.930000,6456964,reg,False,SPXL
8,2019-05-03T00:00:00Z,51.610000,52.250000,52.410000,51.500000,3004351,reg,False,SPXL
9,2019-05-06T00:00:00Z,49.710000,51.640000,51.859900,49.540000,4728673,reg,False,SPXL
10,2019-05-07T00:00:00Z,50.210000,49.060000,50.550000,47.910000,8582157,reg,False,SPXL
11,2019-05-08T00:00:00Z,48.800000,48.830000,49.780000,48.470000,6251040,reg,False,SPXL
12,2019-05-09T00:00:00Z,47.615000,48.450000,48.680000,46.640000,7327245,reg,False,SPXL
13,2019-05-10T00:00:00Z,47.850000,48.970000,49.470000,46.121600,7709477,reg,False,SPXL
14,2019-05-13T00:00:00Z,46.140000,45.360000,46.680000,44.890000,11209939,reg,False,SPXL
15,2019-05-14T00:00:00Z,45.910000,46.510000,47.400000,45.820000,5962140,reg,False,SPXL
16,2019-05-15T00:00:00Z,45.690000,47.330000,47.720000,45.551500,5612489,reg,False,SPXL
17,2019-05-16T00:00:00Z,47.740000,48.620000,49.430000,47.730000,4826059,reg,False,SPXL
18,2019-05-17T00:00:00Z,47.390000,47.730000,49.110000,47.370000,6038225,reg,False,SPXL
19,2019-05-20T00:00:00Z,46.820000,46.740000,47.490000,46.350000,4861714,reg,False,SPXL
20,2019-05-21T00:00:00Z,47.700000,47.990000,48.230000,47.550000,2976275,reg,False,SPXL
21,2019-05-22T00:00:00Z,47.470000,47.570000,48.090000,47.330000,3591732,reg,False,SPXL
22,2019-05-23T00:00:00Z,46.350000,45.890000,46.360000,45.040000,7805417,reg,False,SPXL
23,2019-05-24T00:00:00Z,46.590000,46.060000,46.789000,45.750000,3730757,reg,False,SPXL
