,index,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,avg_vol,avg_close_13,avg_close_21,avg_close_55,std_close,std_high
0,251,2019-12-09T00:00:00Z,14.51,14.52,False,14.33,14.44,reg,5316410,1,1,1,1,0.9951757408683666,0.9869146005509642
1,250,2019-12-06T00:00:00Z,14.39,14.49,False,14.32,14.49,reg,6503676,1,1,1,1,1.0069492703266156,0.9882677708764666
2,249,2019-12-05T00:00:00Z,14.77,14.99,False,14.75,14.75,reg,6750488,1,1,1,1,0.9986459038591741,0.9839893262174783
3,248,2019-12-04T00:00:00Z,14.85,15.02,False,14.76,14.97,reg,5703955,1,1,1,1,1.0080808080808081,0.9826897470039947
4,247,2019-12-03T00:00:00Z,15.14,15.4893,False,15.13,15.28,reg,13742736,1,1,1,1,1.0092470277410832,0.9768033416616633
5,246,2019-12-02T00:00:00Z,14.84,14.9,False,14.42,14.42,reg,9363126,1,1,1,1,0.9716981132075472,0.9677852348993289
6,245,2019-11-29T00:00:00Z,14.46,14.5,False,14.35,14.4,reg,2989550,1,1,1,1,0.995850622406639,0.9896551724137931
7,244,2019-11-27T00:00:00Z,14.31,14.4599,False,14.3,14.4,reg,5144197,1,1,1,1,1.0062893081761006,0.9889418322395038
8,243,2019-11-26T00:00:00Z,14.5,14.63,False,14.46,14.57,reg,5114822,1,1,1,1,1.0048275862068965,0.9883800410116199
9,242,2019-11-25T00:00:00Z,14.59,14.79,False,14.59,14.79,reg,5801998,1,1,1,1,1.0137080191912269,0.9864773495605139
10,241,2019-11-22T00:00:00Z,14.94,15.09,False,14.89,14.92,reg,4961131,1,1,1,1,0.998661311914324,0.9867461895294898
11,240,2019-11-21T00:00:00Z,15.01,15.15,False,14.92,14.94,reg,5807438,1,1,1,1,0.9953364423717521,0.9848184818481848
12,239,2019-11-20T00:00:00Z,14.95,15.19,False,14.8,14.88,reg,9734016,1,1,1,1,0.9953177257525084,0.9743252139565505
13,238,2019-11-19T00:00:00Z,14.79,14.88,False,14.671,14.68,reg,5383717,1,1,1,1,0.9925625422582827,0.9859543010752687
14,237,2019-11-18T00:00:00Z,14.78,14.9,False,14.73,14.84,reg,4669349,1,1,1,1,1.0040595399188093,0.9885906040268456
15,236,2019-11-15T00:00:00Z,14.79,15.02,False,14.79,14.92,reg,5996993,1,1,1,1,1.0087897227856661,0.9846870838881491
16,235,2019-11-14T00:00:00Z,15.13,15.3354,False,15.1,15.24,reg,3582797,1,1,1,1,1.007270323859881,0.9846498950141502
17,234,2019-11-13T00:00:00Z,15.19,15.39,False,15.1137,15.36,reg,9273555,1,1,1,1,1.011191573403555,0.982046783625731
18,233,2019-11-12T00:00:00Z,15.2,15.32,False,15.04,15.23,reg,7707230,1,1,1,1,1.0019736842105265,0.9817232375979111
19,232,2019-11-11T00:00:00Z,15.28,15.44,False,15.25,15.41,reg,3237131,1,1,1,1,1.0085078534031413,0.9876943005181348
20,231,2019-11-08T00:00:00Z,15.2,15.48,False,15.19,15.36,reg,5338397,1,1,1,1,1.0105263157894737,0.981266149870801
21,230,2019-11-07T00:00:00Z,15.29,15.38,False,15.11,15.23,reg,8469652,1,1,1,1,0.9960758665794638,0.9824447334200259
22,229,2019-11-06T00:00:00Z,15.46,15.62,False,15.41,15.48,reg,5428799,1,1,1,1,1.001293661060802,0.9865556978233035
23,228,2019-11-05T00:00:00Z,15.48,15.52,False,15.34,15.37,reg,6416970,1,1,1,1,0.9928940568475452,0.9884020618556701
24,227,2019-11-04T00:00:00Z,15.43,15.48,False,15.32,15.33,reg,4981828,1,1,1,1,0.9935191186001296,0.9896640826873385
25,226,2019-11-01T00:00:00Z,15.61,15.8254,False,15.6,15.8,reg,7906255,1,1,1,1,1.0121716848174247,0.9857570740707976
26,225,2019-10-31T00:00:00Z,16.05,16.285,False,15.9152,15.92,reg,9711943,1,1,1,1,0.9919003115264797,0.9772919864906355
27,224,2019-10-30T00:00:00Z,15.92,16.245,False,15.85,16.02,reg,7090534,1,1,1,1,1.0062814070351758,0.9756848261003385
28,223,2019-10-29T00:00:00Z,16.07,16.11,False,15.9,16.09,reg,5985476,1,1,1,1,1.0012445550715618,0.9869646182495345
29,222,2019-10-28T00:00:00Z,16.01,16.1,False,15.9505,16.1,reg,5023325,1,1,1,1,1.0056214865708932,0.9907142857142857
30,221,2019-10-25T00:00:00Z,16.29,16.6227,False,16.21,16.62,reg,6987709,1,1,1,1,1.0202578268876612,0.9751725050683705
31,220,2019-10-24T00:00:00Z,16.51,16.66,False,16.39,16.42,reg,4503897,1,1,1,1,0.9945487583282859,0.9837935174069629
32,219,2019-10-23T00:00:00Z,16.59,16.8188,False,16.57,16.78,reg,3635599,1,1,1,1,1.0114526823387584,0.9852070302280781
33,218,2019-10-22T00:00:00Z,16.72,16.75,False,16.42,16.46,reg,5161394,1,1,1,1,0.9844497607655504,0.9802985074626867
34,217,2019-10-21T00:00:00Z,16.54,16.74,False,16.5299,16.65,reg,3500844,1,1,1,1,1.0066505441354292,0.9874492234169655
35,216,2019-10-18T00:00:00Z,16.9,17.069,False,16.6601,16.79,reg,5192175,1,1,1,1,0.993491124260355,0.9760442908196145
36,215,2019-10-17T00:00:00Z,16.69,16.8,False,16.51,16.61,reg,4128533,1,1,1,1,0.9952067106051526,0.9827380952380953
37,214,2019-10-16T00:00:00Z,16.81,16.9,False,16.69,16.81,reg,4112954,1,1,1,1,1.0,0.9875739644970416
38,213,2019-10-15T00:00:00Z,16.73,17.06,False,16.6,17.05,reg,5739103,1,1,1,1,1.019127316198446,0.9730363423212194
39,212,2019-10-14T00:00:00Z,17.25,17.31,False,17.121,17.26,reg,3721304,1,1,1,1,1.0005797101449276,0.9890814558058926
40,211,2019-10-11T00:00:00Z,17.18,17.21,False,16.74,17.19,reg,11288804,1,1,1,1,1.00058207217695,0.9726902963393375
41,210,2019-10-10T00:00:00Z,17.7,18.1489,False,17.55,18.12,reg,7856037,1,1,1,1,1.023728813559322,0.9670007548666861
42,209,2019-10-09T00:00:00Z,18.09,18.3199,False,17.88,18.18,reg,7061876,1,1,1,1,1.0049751243781095,0.9759878601957434
43,208,2019-10-08T00:00:00Z,18.62,18.62,False,18.01,18.17,reg,10868333,1,1,1,1,0.9758324382384533,0.9672395273899034
44,207,2019-10-07T00:00:00Z,17.78,17.84,False,17.4,17.71,reg,6635187,1,1,1,1,0.9960629921259843,0.9753363228699551
45,206,2019-10-04T00:00:00Z,17.57,18.1642,False,17.51,18.14,reg,8051320,1,1,1,1,1.0324416619237335,0.9639841005934751
46,205,2019-10-03T00:00:00Z,18.28,19.381,False,18.28,18.8,reg,18283444,1,1,1,1,1.0284463894967177,0.9431917857695682
47,204,2019-10-02T00:00:00Z,18.72,19.0,False,18.11,18.11,reg,12968970,1,1,1,1,0.9674145299145299,0.9531578947368421
48,203,2019-10-01T00:00:00Z,17.78,17.83,False,16.89,17.03,reg,9704125,1,1,1,1,0.9578177727784027,0.9472798653954011
49,202,2019-09-30T00:00:00Z,17.15,17.33,False,17.04,17.32,reg,5889149,1,1,1,1,1.0099125364431487,0.983266012694749
50,201,2019-09-27T00:00:00Z,17.41,17.72,False,16.98,17.01,reg,7969054,1,1,1,1,0.9770246984491672,0.9582392776523703
51,200,2019-09-26T00:00:00Z,17.15,17.41,False,16.99,17.03,reg,5135588,1,1,1,1,0.9930029154518952,0.9758759333716254
52,199,2019-09-25T00:00:00Z,17.01,17.6,False,16.93,17.33,reg,5661162,1,1,1,1,1.0188124632569076,0.961931818181818
53,198,2019-09-24T00:00:00Z,17.33,17.52,False,16.66,16.72,reg,10268334,1,1,1,1,0.9648009232544721,0.9509132420091324
54,197,2019-09-23T00:00:00Z,16.95,17.15,False,16.86,17.1,reg,4372290,1,1,1,1,1.0088495575221241,0.9830903790087464
55,196,2019-09-20T00:00:00Z,17.01,17.11,False,16.571,16.62,reg,5353772,1,1,1,1,0.9770723104056437,0.9684979544126243
56,195,2019-09-19T00:00:00Z,16.75,16.8,False,16.4663,16.66,reg,5651251,1,1,1,1,0.9946268656716418,0.9801369047619047
57,194,2019-09-18T00:00:00Z,16.71,17.2,False,16.69,16.83,reg,6012542,1,1,1,1,1.007181328545781,0.9703488372093024
58,193,2019-09-17T00:00:00Z,16.75,16.9388,False,16.721,16.92,reg,6465573,1,1,1,1,1.0101492537313435,0.9871419463008005
59,192,2019-09-16T00:00:00Z,16.85,16.99,False,16.785,16.92,reg,6235426,1,1,1,1,1.0041543026706232,0.9879340788699236
